,date,home_team,score,away_team
0,26-01-2023,Rosario Central,1 - 0,Argentinos Jrs
1,05-02-2023,Argentinos Jrs,1 - 0,Racing Club
2,12-02-2023,River Plate,2 - 1,Argentinos Jrs
3,18-02-2023,Argentinos Jrs,3 - 0,Belgrano Cordoba
4,28-02-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Argentinos Jrs
5,06-03-2023,Tigre,0 - 1,Argentinos Jrs
6,11-03-2023,Argentinos Jrs,1 - 1,Arsenal de Sarandi
7,21-03-2023,Lanus,0 - 0,Argentinos Jrs
8,31-03-2023,Argentinos Jrs,3 - 0,Godoy Cruz
9,08-04-2023,Sarmiento Junin,2 - 0,Argentinos Jrs
10,11-04-2023,Argentinos Jrs,5 - 1,Union Santa Fe
11,16-04-2023,Huracan,0 - 0,Argentinos Jrs
12,25-04-2023,Argentinos Jrs,2 - 4,Gimnasia LP
13,28-04-2023,Newells,0 - 0,Argentinos Jrs
14,06-05-2023,Argentinos Jrs,2 - 2,CA Independiente
15,13-05-2023,CA Tucuman,1 - 2,Argentinos Jrs
16,20-05-2023,Argentinos Jrs,0 - 1,Boca Juniors
17,28-05-2023,Talleres Cord.,1 - 0,Argentinos Jrs
18,03-06-2023,Argentinos Jrs,1 - 0,Platense
19,13-06-2023,Velez Sarsfield,0 - 1,Argentinos Jrs
20,24-06-2023,Argentinos Jrs,3 - 1,Defensa y Justicia
21,02-07-2023,Banfield,1 - 0,Argentinos Jrs
22,06-07-2023,Argentinos Jrs,0 - 0,Instituto Cordoba
23,10-07-2023,Barracas Central,0 - 0,Argentinos Jrs
24,17-07-2023,Argentinos Jrs,? - ?,Colon
25,28-01-2023,San Lorenzo,1 - 0,Arsenal de Sarandi
26,04-02-2023,Arsenal de Sarandi,1 - 1,Estudiantes LP
27,12-02-2023,Rosario Central,2 - 1,Arsenal de Sarandi
28,18-02-2023,Arsenal de Sarandi,0 - 3,Racing Club
29,26-02-2023,River Plate,1 - 2,Arsenal de Sarandi
30,06-03-2023,Arsenal de Sarandi,0 - 1,Belgrano Cordoba
31,11-03-2023,Argentinos Jrs,1 - 1,Arsenal de Sarandi
32,18-03-2023,Arsenal de Sarandi,2 - 0,Tigre
33,04-04-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Arsenal de Sarandi
34,07-04-2023,Lanus,3 - 0,Arsenal de Sarandi
35,13-04-2023,Arsenal de Sarandi,2 - 3,Godoy Cruz
36,17-04-2023,Sarmiento Junin,1 - 0,Arsenal de Sarandi
37,22-04-2023,Arsenal de Sarandi,2 - 1,Union Santa Fe
38,28-04-2023,Huracan,2 - 1,Arsenal de Sarandi
39,08-05-2023,Arsenal de Sarandi,0 - 1,Gimnasia LP
40,13-05-2023,Newells,2 - 0,Arsenal de Sarandi
41,19-05-2023,Arsenal de Sarandi,2 - 1,CA Independiente
42,27-05-2023,CA Tucuman,1 - 0,Arsenal de Sarandi
43,02-06-2023,Arsenal de Sarandi,1 - 0,Boca Juniors
44,11-06-2023,Talleres Cord.,1 - 0,Arsenal de Sarandi
45,25-06-2023,Arsenal de Sarandi,0 - 2,Platense
46,01-07-2023,Velez Sarsfield,1 - 0,Arsenal de Sarandi
47,06-07-2023,Arsenal de Sarandi,1 - 2,Defensa y Justicia
48,09-07-2023,Banfield,0 - 0,Arsenal de Sarandi
49,17-07-2023,Arsenal de Sarandi,? - ?,Instituto Cordoba
50,30-01-2023,Banfield,0 - 0,Union Santa Fe
51,07-02-2023,Huracan,3 - 2,Banfield
52,12-02-2023,Banfield,0 - 0,Gimnasia LP
53,19-02-2023,Newells,2 - 0,Banfield
54,27-02-2023,Banfield,0 - 0,CA Independiente
55,05-03-2023,CA Tucuman,1 - 0,Banfield
56,13-03-2023,Banfield,1 - 0,Boca Juniors
57,20-03-2023,Talleres Cord.,0 - 1,Banfield
58,03-04-2023,Banfield,0 - 2,Platense
59,08-04-2023,Velez Sarsfield,3 - 3,Banfield
60,12-04-2023,Banfield,0 - 3,Defensa y Justicia
61,17-04-2023,Banfield,1 - 0,CA Central Córdoba de Santiago del Estero
62,23-04-2023,Instituto Cordoba,1 - 1,Banfield
63,29-04-2023,Banfield,0 - 0,Barracas Central
64,06-05-2023,Colon,2 - 0,Banfield
65,13-05-2023,Banfield,1 - 2,San Lorenzo
66,19-05-2023,Estudiantes LP,1 - 0,Banfield
67,29-05-2023,Banfield,2 - 0,Rosario Central
68,04-06-2023,Racing Club,2 - 0,Banfield
69,12-06-2023,Banfield,1 - 4,River Plate
70,26-06-2023,Belgrano Cordoba,3 - 1,Banfield
71,02-07-2023,Banfield,1 - 0,Argentinos Jrs
72,05-07-2023,Tigre,1 - 2,Banfield
73,09-07-2023,Banfield,0 - 0,Arsenal de Sarandi
74,16-07-2023,Lanus,? - ?,Banfield
75,30-01-2023,Barracas Central,0 - 1,Godoy Cruz
76,04-02-2023,Sarmiento Junin,3 - 5,Barracas Central
77,13-02-2023,Barracas Central,1 - 1,Union Santa Fe
78,18-02-2023,Huracan,2 - 0,Barracas Central
79,27-02-2023,Barracas Central,1 - 0,Gimnasia LP
80,05-03-2023,Newells,1 - 0,Barracas Central
81,10-03-2023,Barracas Central,1 - 1,CA Independiente
82,19-03-2023,CA Tucuman,1 - 1,Barracas Central
83,01-04-2023,Barracas Central,0 - 3,Boca Juniors
84,08-04-2023,Talleres Cord.,3 - 0,Barracas Central
85,11-04-2023,Barracas Central,1 - 0,Platense
86,16-04-2023,Velez Sarsfield,0 - 0,Barracas Central
87,24-04-2023,Barracas Central,0 - 2,Defensa y Justicia
88,29-04-2023,Banfield,0 - 0,Barracas Central
89,05-05-2023,Barracas Central,3 - 0,Instituto Cordoba
90,15-05-2023,Barracas Central,2 - 2,CA Central Córdoba de Santiago del Estero
91,21-05-2023,Colon,1 - 1,Barracas Central
92,28-05-2023,Barracas Central,1 - 0,San Lorenzo
93,02-06-2023,Estudiantes LP,5 - 2,Barracas Central
94,09-06-2023,Barracas Central,0 - 0,Rosario Central
95,22-06-2023,Racing Club,1 - 1,Barracas Central
96,01-07-2023,Barracas Central,2 - 1,River Plate
97,07-07-2023,Belgrano Cordoba,0 - 2,Barracas Central
98,10-07-2023,Barracas Central,0 - 0,Argentinos Jrs
99,17-07-2023,Tigre,? - ?,Barracas Central
100,28-01-2023,Racing Club,0 - 0,Belgrano Cordoba
101,04-02-2023,Belgrano Cordoba,2 - 1,River Plate
102,11-02-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Belgrano Cordoba
103,18-02-2023,Argentinos Jrs,3 - 0,Belgrano Cordoba
104,25-02-2023,Belgrano Cordoba,0 - 2,Tigre
105,06-03-2023,Arsenal de Sarandi,0 - 1,Belgrano Cordoba
106,12-03-2023,Belgrano Cordoba,0 - 0,Lanus
107,19-03-2023,Godoy Cruz,3 - 1,Belgrano Cordoba
108,03-04-2023,Belgrano Cordoba,0 - 0,Sarmiento Junin
109,08-04-2023,Union Santa Fe,0 - 3,Belgrano Cordoba
110,12-04-2023,Belgrano Cordoba,2 - 0,Huracan
111,16-04-2023,Gimnasia LP,0 - 2,Belgrano Cordoba
112,22-04-2023,Belgrano Cordoba,1 - 0,Newells
113,30-04-2023,CA Independiente,2 - 0,Belgrano Cordoba
114,06-05-2023,Belgrano Cordoba,1 - 0,CA Tucuman
115,14-05-2023,Boca Juniors,2 - 0,Belgrano Cordoba
116,21-05-2023,Belgrano Cordoba,1 - 1,Talleres Cord.
117,27-05-2023,Platense,1 - 0,Belgrano Cordoba
118,03-06-2023,Belgrano Cordoba,2 - 0,Velez Sarsfield
119,13-06-2023,Defensa y Justicia,2 - 0,Belgrano Cordoba
120,26-06-2023,Belgrano Cordoba,3 - 1,Banfield
121,02-07-2023,Instituto Cordoba,1 - 0,Belgrano Cordoba
122,07-07-2023,Belgrano Cordoba,0 - 2,Barracas Central
123,10-07-2023,Colon,0 - 0,Belgrano Cordoba
124,16-07-2023,Belgrano Cordoba,? - ?,San Lorenzo
125,30-01-2023,Boca Juniors,1 - 0,CA Tucuman
126,05-02-2023,Boca Juniors,0 - 0,CA Central Córdoba de Santiago del Estero
127,12-02-2023,Talleres Cord.,2 - 1,Boca Juniors
128,19-02-2023,Boca Juniors,3 - 1,Platense
129,26-02-2023,Velez Sarsfield,1 - 2,Boca Juniors
130,07-03-2023,Boca Juniors,0 - 0,Defensa y Justicia
131,13-03-2023,Banfield,1 - 0,Boca Juniors
132,19-03-2023,Boca Juniors,2 - 3,Instituto Cordoba
133,01-04-2023,Barracas Central,0 - 3,Boca Juniors
134,10-04-2023,Boca Juniors,1 - 2,Colon
135,12-04-2023,San Lorenzo,1 - 0,Boca Juniors
136,15-04-2023,Boca Juniors,0 - 1,Estudiantes LP
137,23-04-2023,Rosario Central,2 - 2,Boca Juniors
138,30-04-2023,Boca Juniors,3 - 1,Racing Club
139,07-05-2023,River Plate,1 - 0,Boca Juniors
140,14-05-2023,Boca Juniors,2 - 0,Belgrano Cordoba
141,20-05-2023,Argentinos Jrs,0 - 1,Boca Juniors
142,28-05-2023,Boca Juniors,1 - 0,Tigre
143,02-06-2023,Arsenal de Sarandi,1 - 0,Boca Juniors
144,10-06-2023,Boca Juniors,1 - 1,Lanus
145,23-06-2023,Godoy Cruz,4 - 0,Boca Juniors
146,03-07-2023,Boca Juniors,2 - 0,Sarmiento Junin
147,06-07-2023,Union Santa Fe,0 - 0,Boca Juniors
148,10-07-2023,Boca Juniors,1 - 0,Huracan
149,16-07-2023,Gimnasia LP,? - ?,Boca Juniors
150,29-01-2023,CA Central Córdoba de Santiago del Estero,0 - 2,River Plate
151,05-02-2023,Boca Juniors,0 - 0,CA Central Córdoba de Santiago del Estero
152,11-02-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Belgrano Cordoba
153,20-02-2023,Talleres Cord.,2 - 0,CA Central Córdoba de Santiago del Estero
154,28-02-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Argentinos Jrs
155,04-03-2023,Platense,1 - 1,CA Central Córdoba de Santiago del Estero
156,12-03-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Tigre
157,22-03-2023,Velez Sarsfield,4 - 0,CA Central Córdoba de Santiago del Estero
158,04-04-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Arsenal de Sarandi
159,08-04-2023,Defensa y Justicia,1 - 2,CA Central Córdoba de Santiago del Estero
160,12-04-2023,CA Central Córdoba de Santiago del Estero,1 - 1,Lanus
161,17-04-2023,Banfield,1 - 0,CA Central Córdoba de Santiago del Estero
162,22-04-2023,CA Central Córdoba de Santiago del Estero,0 - 2,Godoy Cruz
163,29-04-2023,Instituto Cordoba,0 - 2,CA Central Córdoba de Santiago del Estero
164,09-05-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Sarmiento Junin
165,15-05-2023,Barracas Central,2 - 2,CA Central Córdoba de Santiago del Estero
