,date,home_team,score,away_team
0,09-10-2022,Wellington Phoenix,1 - 1,Adelaide United
1,16-10-2022,Macarthur,2 - 0,Adelaide United
2,23-10-2022,Sydney FC,2 - 2,Adelaide United
3,30-10-2022,Adelaide United,2 - 1,Perth Glory
4,06-11-2022,Western United FC,2 - 4,Adelaide United
5,11-11-2022,Adelaide United,3 - 0,Melbourne Victory
6,09-12-2022,Brisbane Roar,1 - 1,Adelaide United
7,17-12-2022,Wellington Phoenix,3 - 1,Adelaide United
8,27-12-2022,Adelaide United,0 - 1,Newcastle Jets
9,02-01-2023,Adelaide United,2 - 0,Perth Glory
10,07-01-2023,Central Coast Mariners,4 - 0,Adelaide United
11,14-01-2023,Adelaide United,1 - 1,Melbourne Victory
12,20-01-2023,Adelaide United,1 - 0,Macarthur
13,29-01-2023,Melbourne City,3 - 3,Adelaide United
14,04-02-2023,Adelaide United,2 - 1,Brisbane Roar
15,11-02-2023,Western United FC,2 - 3,Adelaide United
16,19-02-2023,Adelaide United,4 - 4,Western Sydney Wanderers
17,26-02-2023,Melbourne Victory,1 - 1,Adelaide United
18,03-03-2023,Adelaide United,4 - 2,Melbourne City
19,11-03-2023,Newcastle Jets,2 - 4,Adelaide United
20,17-03-2023,Adelaide United,5 - 1,Wellington Phoenix
21,31-03-2023,Western Sydney Wanderers,2 - 3,Adelaide United
22,07-04-2023,Adelaide United,1 - 1,Sydney FC
23,16-04-2023,Adelaide United,0 - 1,Western United FC
24,23-04-2023,Perth Glory,4 - 4,Adelaide United
25,28-04-2023,Adelaide United,1 - 4,Central Coast Mariners
26,05-05-2023,Adelaide United,2 - 0,Wellington Phoenix
27,13-05-2023,Adelaide United,1 - 2,Central Coast Mariners
28,20-05-2023,Central Coast Mariners,2 - 0,Adelaide United
29,08-10-2022,Brisbane Roar,0 - 0,Macarthur
30,14-10-2022,Brisbane Roar,0 - 2,Melbourne City
31,22-10-2022,Western Sydney Wanderers,1 - 1,Brisbane Roar
32,29-10-2022,Brisbane Roar,0 - 0,Melbourne Victory
33,06-11-2022,Brisbane Roar,3 - 1,Sydney FC
34,09-12-2022,Brisbane Roar,1 - 1,Adelaide United
35,16-12-2022,Newcastle Jets,0 - 1,Brisbane Roar
36,23-12-2022,Brisbane Roar,1 - 1,Western Sydney Wanderers
37,30-12-2022,Western United FC,1 - 1,Brisbane Roar
38,06-01-2023,Melbourne Victory,0 - 1,Brisbane Roar
39,10-01-2023,Perth Glory,2 - 1,Brisbane Roar
40,14-01-2023,Brisbane Roar,0 - 1,Wellington Phoenix
41,21-01-2023,Brisbane Roar,0 - 0,Melbourne City
42,27-01-2023,Newcastle Jets,4 - 0,Brisbane Roar
43,04-02-2023,Adelaide United,2 - 1,Brisbane Roar
44,10-02-2023,Brisbane Roar,1 - 2,Central Coast Mariners
45,18-02-2023,Sydney FC,1 - 1,Brisbane Roar
46,26-02-2023,Brisbane Roar,2 - 1,Perth Glory
47,05-03-2023,Macarthur,3 - 2,Brisbane Roar
48,12-03-2023,Melbourne City,2 - 1,Brisbane Roar
49,18-03-2023,Brisbane Roar,1 - 0,Western United FC
50,01-04-2023,Central Coast Mariners,4 - 1,Brisbane Roar
51,08-04-2023,Brisbane Roar,3 - 0,Newcastle Jets
52,16-04-2023,Wellington Phoenix,2 - 2,Brisbane Roar
53,24-04-2023,Brisbane Roar,0 - 2,Sydney FC
54,29-04-2023,Melbourne Victory,0 - 1,Brisbane Roar
55,16-10-2022,Wellington Phoenix,2 - 2,Central Coast Mariners
56,23-10-2022,Central Coast Mariners,1 - 2,Perth Glory
57,29-10-2022,Central Coast Mariners,4 - 2,Western United FC
58,05-11-2022,Western Sydney Wanderers,0 - 3,Central Coast Mariners
59,13-11-2022,Central Coast Mariners,2 - 3,Macarthur
60,11-12-2022,Central Coast Mariners,1 - 2,Newcastle Jets
61,17-12-2022,Central Coast Mariners,2 - 1,Sydney FC
62,21-12-2022,Central Coast Mariners,3 - 0,Newcastle Jets
63,27-12-2022,Melbourne City,1 - 0,Central Coast Mariners
64,31-12-2022,Central Coast Mariners,2 - 1,Melbourne Victory
65,07-01-2023,Central Coast Mariners,4 - 0,Adelaide United
66,13-01-2023,Macarthur,1 - 2,Central Coast Mariners
67,22-01-2023,Wellington Phoenix,2 - 1,Central Coast Mariners
68,28-01-2023,Central Coast Mariners,2 - 2,Western Sydney Wanderers
69,04-02-2023,Sydney FC,3 - 2,Central Coast Mariners
70,10-02-2023,Brisbane Roar,1 - 2,Central Coast Mariners
71,18-02-2023,Perth Glory,2 - 2,Central Coast Mariners
72,24-02-2023,Central Coast Mariners,1 - 1,Wellington Phoenix
73,04-03-2023,Western Sydney Wanderers,2 - 0,Central Coast Mariners
74,11-03-2023,Central Coast Mariners,4 - 1,Macarthur
75,19-03-2023,Melbourne Victory,2 - 0,Central Coast Mariners
76,01-04-2023,Central Coast Mariners,4 - 1,Brisbane Roar
77,07-04-2023,Western United FC,0 - 3,Central Coast Mariners
78,15-04-2023,Central Coast Mariners,1 - 1,Melbourne City
79,22-04-2023,Newcastle Jets,1 - 3,Central Coast Mariners
80,28-04-2023,Adelaide United,1 - 4,Central Coast Mariners
81,13-05-2023,Adelaide United,1 - 2,Central Coast Mariners
82,20-05-2023,Central Coast Mariners,2 - 0,Adelaide United
83,03-06-2023,Melbourne City,1 - 6,Central Coast Mariners
84,08-10-2022,Brisbane Roar,0 - 0,Macarthur
85,16-10-2022,Macarthur,2 - 0,Adelaide United
86,21-10-2022,Western United FC,1 - 1,Macarthur
87,29-10-2022,Macarthur,2 - 3,Sydney FC
88,06-11-2022,Wellington Phoenix,4 - 1,Macarthur
89,13-11-2022,Central Coast Mariners,2 - 3,Macarthur
90,11-12-2022,Macarthur,0 - 1,Melbourne Victory
91,18-12-2022,Macarthur,1 - 0,Perth Glory
92,24-12-2022,Sydney FC,0 - 3,Macarthur
93,01-01-2023,Western Sydney Wanderers,4 - 0,Macarthur
94,08-01-2023,Macarthur,2 - 0,Newcastle Jets
95,13-01-2023,Macarthur,1 - 2,Central Coast Mariners
96,20-01-2023,Adelaide United,1 - 0,Macarthur
97,28-01-2023,Macarthur,2 - 2,Western United FC
98,04-02-2023,Melbourne City,6 - 1,Macarthur
99,12-02-2023,Macarthur,2 - 1,Wellington Phoenix
100,18-02-2023,Macarthur,0 - 1,Newcastle Jets
101,25-02-2023,Western Sydney Wanderers,4 - 0,Macarthur
102,05-03-2023,Macarthur,3 - 2,Brisbane Roar
103,11-03-2023,Central Coast Mariners,4 - 1,Macarthur
104,19-03-2023,Macarthur,1 - 1,Melbourne City
105,01-04-2023,Perth Glory,2 - 1,Macarthur
106,08-04-2023,Macarthur,2 - 2,Western Sydney Wanderers
107,14-04-2023,Newcastle Jets,2 - 1,Macarthur
108,23-04-2023,Melbourne Victory,2 - 1,Macarthur
109,29-04-2023,Macarthur,0 - 1,Wellington Phoenix
110,07-10-2022,Melbourne City,2 - 1,Western United FC
111,14-10-2022,Brisbane Roar,0 - 2,Melbourne City
112,22-10-2022,Melbourne Victory,0 - 2,Melbourne City
113,30-10-2022,Melbourne City,2 - 2,Wellington Phoenix
114,05-11-2022,Melbourne City,4 - 0,Perth Glory
115,12-11-2022,Newcastle Jets,1 - 2,Melbourne City
116,10-12-2022,Sydney FC,2 - 1,Melbourne City
117,27-12-2022,Melbourne City,1 - 0,Central Coast Mariners
118,02-01-2023,Wellington Phoenix,1 - 3,Melbourne City
119,07-01-2023,Melbourne City,4 - 0,Western United FC
120,15-01-2023,Western Sydney Wanderers,1 - 1,Melbourne City
121,21-01-2023,Brisbane Roar,0 - 0,Melbourne City
122,29-01-2023,Melbourne City,3 - 3,Adelaide United
123,04-02-2023,Melbourne City,6 - 1,Macarthur
124,11-02-2023,Perth Glory,2 - 4,Melbourne City
125,18-02-2023,Melbourne Victory,3 - 2,Melbourne City
126,25-02-2023,Melbourne City,3 - 2,Sydney FC
127,03-03-2023,Adelaide United,4 - 2,Melbourne City
128,12-03-2023,Melbourne City,2 - 1,Brisbane Roar
129,19-03-2023,Macarthur,1 - 1,Melbourne City
130,02-04-2023,Melbourne City,1 - 1,Newcastle Jets
131,05-04-2023,Melbourne City,2 - 1,Melbourne Victory
132,10-04-2023,Melbourne City,4 - 1,Wellington Phoenix
133,15-04-2023,Central Coast Mariners,1 - 1,Melbourne City
134,22-04-2023,Western United FC,1 - 3,Melbourne City
135,28-04-2023,Melbourne City,3 - 2,Western Sydney Wanderers
136,12-05-2023,Sydney FC,1 - 1,Melbourne City
137,19-05-2023,Melbourne City,4 - 0,Sydney FC
