,date,home_team,score,away_team
0,23-07-2022,LASK Linz,3 - 1,Austria Klagenfurt
1,31-07-2022,Austria Klagenfurt,0 - 1,Rapid Vienna
2,07-08-2022,Swarovski Watt,2 - 2,Austria Klagenfurt
3,13-08-2022,Austria Klagenfurt,1 - 0,SV Ried
4,20-08-2022,FC Salzburg,2 - 0,Austria Klagenfurt
5,28-08-2022,Austria Klagenfurt,3 - 3,FK Austria Vienna
6,04-09-2022,Wolfsberger AC,3 - 4,Austria Klagenfurt
7,11-09-2022,Austria Klagenfurt,0 - 2,SK Sturm Graz
8,17-09-2022,SCR Altach,1 - 4,Austria Klagenfurt
9,02-10-2022,Hartberg,2 - 3,Austria Klagenfurt
10,08-10-2022,Austria Klagenfurt,2 - 1,Austria Lustenau
11,15-10-2022,Austria Klagenfurt,1 - 3,LASK Linz
12,22-10-2022,Rapid Vienna,0 - 1,Austria Klagenfurt
13,29-10-2022,Austria Klagenfurt,2 - 3,Swarovski Watt
14,05-11-2022,SV Ried,2 - 2,Austria Klagenfurt
15,13-11-2022,Austria Klagenfurt,0 - 1,FC Salzburg
16,12-02-2023,FK Austria Vienna,3 - 1,Austria Klagenfurt
17,18-02-2023,Austria Klagenfurt,0 - 3,Wolfsberger AC
18,25-02-2023,SK Sturm Graz,1 - 2,Austria Klagenfurt
19,05-03-2023,Austria Klagenfurt,3 - 0,SCR Altach
20,12-03-2023,Austria Klagenfurt,1 - 0,Hartberg
21,19-03-2023,Austria Lustenau,4 - 2,Austria Klagenfurt
22,02-04-2023,Austria Klagenfurt,0 - 3,FC Salzburg
23,09-04-2023,Rapid Vienna,3 - 1,Austria Klagenfurt
24,16-04-2023,Austria Klagenfurt,0 - 2,SK Sturm Graz
25,23-04-2023,FK Austria Vienna,1 - 2,Austria Klagenfurt
26,30-04-2023,LASK Linz,4 - 0,Austria Klagenfurt
27,07-05-2023,Austria Klagenfurt,1 - 1,LASK Linz
28,14-05-2023,SK Sturm Graz,4 - 1,Austria Klagenfurt
29,21-05-2023,Austria Klagenfurt,1 - 1,FK Austria Vienna
30,28-05-2023,FC Salzburg,3 - 2,Austria Klagenfurt
31,03-06-2023,Austria Klagenfurt,2 - 1,Rapid Vienna
32,24-07-2022,Austria Lustenau,2 - 1,Swarovski Watt
