,date,home_team,score,away_team
0,24-07-2022,Anderlecht,2 - 0,Oostende
1,30-07-2022,Cercle Brugge,1 - 0,Anderlecht
2,07-08-2022,Anderlecht,3 - 1,Seraing United
3,14-08-2022,Sint-Truidense,0 - 3,Anderlecht
4,28-08-2022,Union St. Gilloise,2 - 1,Anderlecht
5,01-09-2022,Anderlecht,0 - 1,Gent
6,04-09-2022,Anderlecht,2 - 2,Oud-Heverlee Leuven
7,11-09-2022,KVC Westerlo,2 - 1,Anderlecht
8,18-09-2022,Anderlecht,4 - 1,Kortrijk
9,02-10-2022,Anderlecht,0 - 1,Charleroi
10,09-10-2022,Mechelen,1 - 3,Anderlecht
11,16-10-2022,Anderlecht,0 - 1,Club Brugge
12,20-10-2022,Zulte-Waregem,3 - 2,Anderlecht
13,23-10-2022,Standard,3 - 1,Anderlecht
14,30-10-2022,Anderlecht,4 - 2,Eupen
15,06-11-2022,Royal Antwerp,0 - 0,Anderlecht
16,13-11-2022,Anderlecht,0 - 2,Genk
17,26-12-2022,Charleroi,0 - 1,Anderlecht
18,08-01-2023,Anderlecht,1 - 3,Union St. Gilloise
19,15-01-2023,Club Brugge,1 - 1,Anderlecht
20,18-01-2023,Anderlecht,2 - 3,Zulte-Waregem
21,22-01-2023,Seraing United,0 - 1,Anderlecht
22,29-01-2023,Anderlecht,0 - 0,Royal Antwerp
23,03-02-2023,Oostende,0 - 2,Anderlecht
24,12-02-2023,Anderlecht,3 - 1,Sint-Truidense
25,19-02-2023,Kortrijk,2 - 2,Anderlecht
26,26-02-2023,Anderlecht,2 - 2,Standard
27,05-03-2023,Gent,1 - 0,Anderlecht
28,12-03-2023,Anderlecht,2 - 0,Cercle Brugge
29,19-03-2023,Oud-Heverlee Leuven,0 - 2,Anderlecht
30,02-04-2023,Eupen,0 - 1,Anderlecht
31,09-04-2023,Anderlecht,0 - 0,KVC Westerlo
32,16-04-2023,Genk,5 - 2,Anderlecht
33,23-04-2023,Anderlecht,2 - 3,Mechelen
34,24-07-2022,KVC Westerlo,2 - 0,Cercle Brugge
35,30-07-2022,Cercle Brugge,1 - 0,Anderlecht
36,07-08-2022,Standard,2 - 0,Cercle Brugge
37,13-08-2022,Cercle Brugge,0 - 0,Mechelen
38,20-08-2022,Genk,2 - 1,Cercle Brugge
39,27-08-2022,Cercle Brugge,1 - 1,Zulte-Waregem
40,02-09-2022,Club Brugge,4 - 0,Cercle Brugge
41,11-09-2022,Cercle Brugge,0 - 2,Royal Antwerp
42,17-09-2022,Cercle Brugge,2 - 2,Oostende
43,02-10-2022,Gent,3 - 4,Cercle Brugge
44,09-10-2022,Union St. Gilloise,2 - 1,Cercle Brugge
45,15-10-2022,Cercle Brugge,5 - 1,Eupen
46,18-10-2022,Seraing United,0 - 1,Cercle Brugge
47,21-10-2022,Cercle Brugge,4 - 1,Charleroi
48,29-10-2022,Kortrijk,1 - 1,Cercle Brugge
49,05-11-2022,Cercle Brugge,2 - 1,Oud-Heverlee Leuven
50,12-11-2022,Sint-Truidense,0 - 1,Cercle Brugge
