,date,home_team,score,away_team
0,15-04-2023,America Mineiro,0 - 3,Fluminense FC
1,22-04-2023,Sao Paulo,3 - 0,America Mineiro
2,29-04-2023,Santos,3 - 2,America Mineiro
3,07-05-2023,America Mineiro,1 - 2,Cuiaba
4,10-05-2023,RB Bragantino,2 - 2,America Mineiro
5,14-05-2023,America Mineiro,0 - 4,Cruzeiro
6,20-05-2023,America Mineiro,2 - 1,Fortaleza EC
7,28-05-2023,Botafogo FR,2 - 0,America Mineiro
8,03-06-2023,America Mineiro,2 - 0,Corinthians
9,11-06-2023,America Mineiro,2 - 2,CA Paranaense
10,22-06-2023,Grêmio Porto Al,3 - 1,America Mineiro
11,25-06-2023,America Mineiro,1 - 2,Internacional RS
12,02-07-2023,Atletico Mineiro,2 - 2,America Mineiro
13,08-07-2023,Coritiba FBC,3 - 1,America Mineiro
14,16-04-2023,Atletico Mineiro,1 - 2,Vasco da Gama
15,23-04-2023,Santos,0 - 0,Atletico Mineiro
16,30-04-2023,Atletico Mineiro,2 - 1,CA Paranaense
17,07-05-2023,Botafogo FR,2 - 0,Atletico Mineiro
18,10-05-2023,Cuiaba,0 - 4,Atletico Mineiro
19,14-05-2023,Atletico Mineiro,2 - 0,Internacional RS
20,20-05-2023,Coritiba FBC,1 - 2,Atletico Mineiro
21,28-05-2023,Atletico Mineiro,1 - 1,SE Palmeiras
22,03-06-2023,Cruzeiro,0 - 1,Atletico Mineiro
23,10-06-2023,Atletico Mineiro,1 - 1,RB Bragantino
24,22-06-2023,Fluminense FC,1 - 1,Atletico Mineiro
25,24-06-2023,Fortaleza EC,2 - 1,Atletico Mineiro
26,02-07-2023,Atletico Mineiro,2 - 2,America Mineiro
27,08-07-2023,Atletico Mineiro,0 - 1,Corinthians
28,17-07-2023,Goiás EC,? - ?,Atletico Mineiro
29,15-04-2023,Botafogo FR,2 - 1,Sao Paulo
30,24-04-2023,EC Bahia,1 - 2,Botafogo FR
31,30-04-2023,Flamengo RJ,2 - 3,Botafogo FR
32,07-05-2023,Botafogo FR,2 - 0,Atletico Mineiro
33,11-05-2023,Botafogo FR,3 - 0,Corinthians
34,14-05-2023,Goiás EC,2 - 1,Botafogo FR
35,20-05-2023,Botafogo FR,1 - 0,Fluminense FC
36,28-05-2023,Botafogo FR,2 - 0,America Mineiro
37,03-06-2023,CA Paranaense,1 - 0,Botafogo FR
38,11-06-2023,Botafogo FR,2 - 0,Fortaleza EC
39,22-06-2023,Cuiaba,0 - 1,Botafogo FR
40,25-06-2023,SE Palmeiras,0 - 1,Botafogo FR
41,02-07-2023,Botafogo FR,2 - 0,Vasco da Gama
42,09-07-2023,Grêmio Porto Al,0 - 2,Botafogo FR
43,16-07-2023,Botafogo FR,? - ?,RB Bragantino
44,15-04-2023,CA Paranaense,2 - 0,Goiás EC
45,22-04-2023,Fluminense FC,2 - 0,CA Paranaense
46,30-04-2023,Atletico Mineiro,2 - 1,CA Paranaense
47,07-05-2023,CA Paranaense,2 - 1,Flamengo RJ
48,10-05-2023,Internacional RS,0 - 2,CA Paranaense
49,14-05-2023,CA Paranaense,3 - 2,Coritiba FBC
50,20-05-2023,RB Bragantino,2 - 0,CA Paranaense
51,27-05-2023,CA Paranaense,1 - 2,Grêmio Porto Al
52,03-06-2023,CA Paranaense,1 - 0,Botafogo FR
53,11-06-2023,America Mineiro,2 - 2,CA Paranaense
54,21-06-2023,Sao Paulo,2 - 1,CA Paranaense
55,24-06-2023,CA Paranaense,1 - 0,Corinthians
56,02-07-2023,CA Paranaense,2 - 2,SE Palmeiras
57,09-07-2023,Fortaleza EC,1 - 0,CA Paranaense
58,16-07-2023,CA Paranaense,? - ?,EC Bahia
59,16-04-2023,Corinthians,2 - 1,Cruzeiro
60,23-04-2023,Goiás EC,3 - 1,Corinthians
