,date,home_team,score,away_team
0,30-07-2022,Baník Ostrava,0 - 3,Sigma Olomouc
1,06-08-2022,Bohemians 1905,3 - 3,Baník Ostrava
2,13-08-2022,Baník Ostrava,3 - 1,Zlin
3,20-08-2022,Baník Ostrava,1 - 2,Teplice
4,27-08-2022,FK Jablonec,1 - 1,Baník Ostrava
5,31-08-2022,Baník Ostrava,1 - 2,Zbrojovka Brno
6,04-09-2022,Hradec Králové,0 - 0,Baník Ostrava
7,11-09-2022,Baník Ostrava,3 - 0,Pardubice
8,17-09-2022,Sparta Praha,1 - 1,Baník Ostrava
9,01-10-2022,Baník Ostrava,1 - 2,České Budějovice
10,09-10-2022,Slovan Liberec,0 - 0,Baník Ostrava
11,16-10-2022,Baník Ostrava,3 - 1,Slovácko
12,22-10-2022,Plzen,3 - 1,Baník Ostrava
13,29-10-2022,Baník Ostrava,3 - 1,Mlada Boleslav
14,06-11-2022,Slavia Praha,3 - 1,Baník Ostrava
15,12-11-2022,Baník Ostrava,4 - 1,Bohemians 1905
16,29-01-2023,Zlin,1 - 1,Baník Ostrava
17,04-02-2023,Teplice,0 - 5,Baník Ostrava
18,11-02-2023,Baník Ostrava,1 - 2,FK Jablonec
19,18-02-2023,Zbrojovka Brno,2 - 1,Baník Ostrava
20,26-02-2023,Baník Ostrava,0 - 2,Hradec Králové
21,04-03-2023,Pardubice,1 - 1,Baník Ostrava
22,11-03-2023,Baník Ostrava,0 - 3,Sparta Praha
23,18-03-2023,České Budějovice,2 - 1,Baník Ostrava
24,01-04-2023,Baník Ostrava,0 - 0,Slovan Liberec
25,08-04-2023,Slovácko,0 - 1,Baník Ostrava
26,16-04-2023,Baník Ostrava,2 - 1,Plzen
27,22-04-2023,Mlada Boleslav,1 - 0,Baník Ostrava
28,25-04-2023,Baník Ostrava,0 - 2,Slavia Praha
29,30-04-2023,Sigma Olomouc,1 - 4,Baník Ostrava
30,06-05-2023,Baník Ostrava,4 - 0,Zbrojovka Brno
31,14-05-2023,FK Jablonec,1 - 1,Baník Ostrava
32,21-05-2023,Baník Ostrava,2 - 1,Teplice
33,24-05-2023,Zlin,2 - 1,Baník Ostrava
34,28-05-2023,Baník Ostrava,2 - 4,Pardubice
35,31-07-2022,FK Jablonec,0 - 3,Bohemians 1905
36,06-08-2022,Bohemians 1905,3 - 3,Baník Ostrava
37,13-08-2022,Teplice,0 - 1,Bohemians 1905
38,22-08-2022,Bohemians 1905,1 - 2,Hradec Králové
39,27-08-2022,Sparta Praha,1 - 1,Bohemians 1905
40,30-08-2022,Bohemians 1905,1 - 2,České Budějovice
41,04-09-2022,Zbrojovka Brno,1 - 2,Bohemians 1905
42,11-09-2022,Bohemians 1905,0 - 2,Slovan Liberec
43,18-09-2022,Pardubice,0 - 1,Bohemians 1905
44,01-10-2022,Bohemians 1905,1 - 1,Plzen
45,09-10-2022,Slovácko,2 - 4,Bohemians 1905
46,15-10-2022,Bohemians 1905,1 - 1,Sigma Olomouc
47,23-10-2022,Mlada Boleslav,4 - 3,Bohemians 1905
48,30-10-2022,Bohemians 1905,1 - 4,Slavia Praha
49,05-11-2022,Bohemians 1905,3 - 2,Zlin
50,12-11-2022,Baník Ostrava,4 - 1,Bohemians 1905
51,28-01-2023,Bohemians 1905,2 - 0,Teplice
52,05-02-2023,Hradec Králové,0 - 2,Bohemians 1905
53,12-02-2023,Bohemians 1905,2 - 6,Sparta Praha
54,19-02-2023,České Budějovice,1 - 0,Bohemians 1905
55,25-02-2023,Bohemians 1905,1 - 1,Zbrojovka Brno
56,05-03-2023,Slovan Liberec,1 - 3,Bohemians 1905
57,12-03-2023,Bohemians 1905,2 - 0,Pardubice
58,19-03-2023,Plzen,1 - 2,Bohemians 1905
59,02-04-2023,Bohemians 1905,1 - 0,Slovácko
60,09-04-2023,Sigma Olomouc,2 - 2,Bohemians 1905
61,16-04-2023,Bohemians 1905,4 - 0,Mlada Boleslav
62,22-04-2023,Slavia Praha,3 - 0,Bohemians 1905
63,26-04-2023,Zlin,4 - 1,Bohemians 1905
64,30-04-2023,Bohemians 1905,4 - 1,FK Jablonec
65,07-05-2023,Slavia Praha,6 - 0,Bohemians 1905
