,date,home_team,score,away_team
0,17-07-2022,FC Copenhagen,0 - 1,AC Horsens
1,25-07-2022,AC Horsens,1 - 0,Lyngby Boldklub
2,31-07-2022,AaB,0 - 0,AC Horsens
3,05-08-2022,Randers FC,1 - 0,AC Horsens
4,12-08-2022,AC Horsens,3 - 3,Midtjylland
5,22-08-2022,Odense BK,1 - 0,AC Horsens
6,26-08-2022,AC Horsens,2 - 1,AGF Aarhus
7,04-09-2022,AC Horsens,0 - 2,Brondby
8,12-09-2022,Viborg,2 - 1,AC Horsens
9,16-09-2022,AC Horsens,1 - 0,FC Nordsjaelland
10,02-10-2022,Silkeborg IF,2 - 1,AC Horsens
11,10-10-2022,AC Horsens,0 - 0,AaB
12,16-10-2022,Midtjylland,2 - 1,AC Horsens
13,23-10-2022,AC Horsens,3 - 2,Silkeborg IF
14,28-10-2022,FC Nordsjaelland,2 - 0,AC Horsens
15,04-11-2022,AC Horsens,5 - 1,Randers FC
16,13-11-2022,AC Horsens,3 - 3,Odense BK
17,19-02-2023,Brondby,5 - 2,AC Horsens
18,26-02-2023,AC Horsens,0 - 3,Viborg
19,03-03-2023,AGF Aarhus,2 - 0,AC Horsens
20,12-03-2023,AC Horsens,1 - 4,FC Copenhagen
21,19-03-2023,Lyngby Boldklub,1 - 1,AC Horsens
22,02-04-2023,AC Horsens,0 - 4,AaB
23,11-04-2023,Silkeborg IF,1 - 2,AC Horsens
24,16-04-2023,Lyngby Boldklub,2 - 1,AC Horsens
25,23-04-2023,AC Horsens,0 - 2,Midtjylland
26,28-04-2023,AC Horsens,2 - 2,Odense BK
27,07-05-2023,AaB,4 - 0,AC Horsens
28,14-05-2023,Midtjylland,3 - 1,AC Horsens
29,19-05-2023,AC Horsens,0 - 1,Silkeborg IF
30,26-05-2023,Odense BK,2 - 1,AC Horsens
31,03-06-2023,AC Horsens,0 - 0,Lyngby Boldklub
32,17-07-2022,Brondby,1 - 0,AGF Aarhus
33,24-07-2022,AGF Aarhus,3 - 1,Viborg
34,31-07-2022,AGF Aarhus,0 - 0,Randers FC
35,07-08-2022,Odense BK,1 - 2,AGF Aarhus
36,15-08-2022,AGF Aarhus,1 - 0,Lyngby Boldklub
37,20-08-2022,Midtjylland,0 - 2,AGF Aarhus
38,26-08-2022,AC Horsens,2 - 1,AGF Aarhus
39,05-09-2022,AGF Aarhus,2 - 3,FC Nordsjaelland
40,11-09-2022,Silkeborg IF,1 - 0,AGF Aarhus
41,17-09-2022,AGF Aarhus,3 - 1,AaB
42,02-10-2022,FC Copenhagen,1 - 0,AGF Aarhus
43,09-10-2022,AGF Aarhus,0 - 1,Midtjylland
44,16-10-2022,FC Nordsjaelland,1 - 1,AGF Aarhus
45,23-10-2022,AGF Aarhus,2 - 2,Brondby
46,30-10-2022,Lyngby Boldklub,0 - 1,AGF Aarhus
47,06-11-2022,Viborg,1 - 1,AGF Aarhus
48,13-11-2022,AGF Aarhus,0 - 2,FC Copenhagen
49,17-02-2023,AaB,0 - 1,AGF Aarhus
50,26-02-2023,AGF Aarhus,1 - 1,Silkeborg IF
51,03-03-2023,AGF Aarhus,2 - 0,AC Horsens
52,13-03-2023,Randers FC,1 - 2,AGF Aarhus
53,19-03-2023,AGF Aarhus,1 - 0,Odense BK
54,03-04-2023,AGF Aarhus,1 - 1,Randers FC
55,09-04-2023,Viborg,0 - 1,AGF Aarhus
56,16-04-2023,Brondby,1 - 0,AGF Aarhus
57,23-04-2023,AGF Aarhus,0 - 0,FC Copenhagen
58,30-04-2023,FC Nordsjaelland,0 - 1,AGF Aarhus
59,07-05-2023,AGF Aarhus,3 - 0,Viborg
60,14-05-2023,AGF Aarhus,1 - 1,FC Nordsjaelland
61,21-05-2023,FC Copenhagen,4 - 3,AGF Aarhus
62,30-05-2023,Randers FC,1 - 3,AGF Aarhus
63,04-06-2023,AGF Aarhus,3 - 3,Brondby
64,17-07-2022,Viborg,2 - 1,AaB
65,24-07-2022,AaB,1 - 3,FC Copenhagen
66,31-07-2022,AaB,0 - 0,AC Horsens
67,08-08-2022,Silkeborg IF,3 - 1,AaB
68,14-08-2022,AaB,0 - 0,FC Nordsjaelland
69,21-08-2022,AaB,2 - 1,Brondby
70,28-08-2022,Randers FC,1 - 0,AaB
71,04-09-2022,Midtjylland,0 - 2,AaB
72,11-09-2022,AaB,1 - 1,Lyngby Boldklub
73,17-09-2022,AGF Aarhus,3 - 1,AaB
74,30-09-2022,AaB,1 - 1,Odense BK
75,10-10-2022,AC Horsens,0 - 0,AaB
76,14-10-2022,Lyngby Boldklub,0 - 2,AaB
77,24-10-2022,AaB,1 - 3,Viborg
78,30-10-2022,Brondby,3 - 2,AaB
79,06-11-2022,AaB,1 - 2,Silkeborg IF
80,13-11-2022,FC Nordsjaelland,5 - 1,AaB
81,17-02-2023,AaB,0 - 1,AGF Aarhus
82,26-02-2023,FC Copenhagen,1 - 0,AaB
83,06-03-2023,AaB,0 - 0,Midtjylland
84,10-03-2023,Odense BK,2 - 1,AaB
85,19-03-2023,AaB,0 - 1,Randers FC
86,02-04-2023,AC Horsens,0 - 4,AaB
87,10-04-2023,AaB,2 - 3,Odense BK
88,14-04-2023,Midtjylland,1 - 1,AaB
89,21-04-2023,Silkeborg IF,2 - 2,AaB
90,30-04-2023,AaB,1 - 0,Lyngby Boldklub
91,07-05-2023,AaB,4 - 0,AC Horsens
92,12-05-2023,Odense BK,1 - 1,AaB
93,21-05-2023,AaB,0 - 2,Midtjylland
94,29-05-2023,Lyngby Boldklub,2 - 1,AaB
95,03-06-2023,AaB,0 - 1,Silkeborg IF
96,17-07-2022,Brondby,1 - 0,AGF Aarhus
97,24-07-2022,Brondby,1 - 3,FC Nordsjaelland
98,31-07-2022,Silkeborg IF,2 - 0,Brondby
99,07-08-2022,FC Copenhagen,4 - 1,Brondby
100,14-08-2022,Brondby,2 - 0,Odense BK
101,21-08-2022,AaB,2 - 1,Brondby
102,29-08-2022,Brondby,0 - 2,Midtjylland
103,04-09-2022,AC Horsens,0 - 2,Brondby
104,11-09-2022,Brondby,2 - 2,Randers FC
105,18-09-2022,Viborg,0 - 0,Brondby
106,02-10-2022,Brondby,3 - 3,Lyngby Boldklub
107,09-10-2022,Randers FC,2 - 3,Brondby
108,16-10-2022,Brondby,1 - 1,FC Copenhagen
109,23-10-2022,AGF Aarhus,2 - 2,Brondby
110,30-10-2022,Brondby,3 - 2,AaB
111,06-11-2022,Odense BK,1 - 1,Brondby
112,13-11-2022,Brondby,0 - 2,Viborg
113,19-02-2023,Brondby,5 - 2,AC Horsens
