,date,home_team,score,away_team
0,05-08-2022,Crystal Palace,0 - 2,Arsenal
1,13-08-2022,Arsenal,4 - 2,Leicester
2,20-08-2022,Bournemouth,0 - 3,Arsenal
3,27-08-2022,Arsenal,2 - 1,Fulham
4,31-08-2022,Arsenal,2 - 1,Aston Villa
5,04-09-2022,Man United,3 - 1,Arsenal
6,18-09-2022,Brentford,0 - 3,Arsenal
7,01-10-2022,Arsenal,3 - 1,Tottenham
8,09-10-2022,Arsenal,3 - 2,Liverpool
9,16-10-2022,Leeds,0 - 1,Arsenal
10,23-10-2022,Southampton,1 - 1,Arsenal
11,30-10-2022,Arsenal,5 - 0,Nott'm Forest
12,06-11-2022,Chelsea,0 - 1,Arsenal
13,12-11-2022,Wolves,0 - 2,Arsenal
14,26-12-2022,Arsenal,3 - 1,West Ham
15,31-12-2022,Brighton,2 - 4,Arsenal
16,03-01-2023,Arsenal,0 - 0,Newcastle
17,15-01-2023,Tottenham,0 - 2,Arsenal
18,22-01-2023,Arsenal,3 - 2,Man United
19,04-02-2023,Everton,1 - 0,Arsenal
20,11-02-2023,Arsenal,1 - 1,Brentford
21,15-02-2023,Arsenal,1 - 3,Man City
22,18-02-2023,Aston Villa,2 - 4,Arsenal
23,25-02-2023,Leicester,0 - 1,Arsenal
24,01-03-2023,Arsenal,4 - 0,Everton
25,04-03-2023,Arsenal,3 - 2,Bournemouth
26,12-03-2023,Fulham,0 - 3,Arsenal
27,19-03-2023,Arsenal,4 - 1,Crystal Palace
28,01-04-2023,Arsenal,4 - 1,Leeds
29,09-04-2023,Liverpool,2 - 2,Arsenal
30,16-04-2023,West Ham,2 - 2,Arsenal
31,21-04-2023,Arsenal,3 - 3,Southampton
32,26-04-2023,Man City,4 - 1,Arsenal
33,02-05-2023,Arsenal,3 - 1,Chelsea
34,07-05-2023,Newcastle,0 - 2,Arsenal
35,14-05-2023,Arsenal,0 - 3,Brighton
36,20-05-2023,Nott'm Forest,1 - 0,Arsenal
37,28-05-2023,Arsenal,5 - 0,Wolves
38,06-08-2022,Bournemouth,2 - 0,Aston Villa
39,13-08-2022,Aston Villa,2 - 1,Everton
40,20-08-2022,Crystal Palace,3 - 1,Aston Villa
41,28-08-2022,Aston Villa,0 - 1,West Ham
42,31-08-2022,Arsenal,2 - 1,Aston Villa
43,03-09-2022,Aston Villa,1 - 1,Man City
44,16-09-2022,Aston Villa,1 - 0,Southampton
45,02-10-2022,Leeds,0 - 0,Aston Villa
46,10-10-2022,Nott'm Forest,1 - 1,Aston Villa
47,16-10-2022,Aston Villa,0 - 2,Chelsea
48,20-10-2022,Fulham,3 - 0,Aston Villa
49,23-10-2022,Aston Villa,4 - 0,Brentford
50,29-10-2022,Newcastle,4 - 0,Aston Villa
51,06-11-2022,Aston Villa,3 - 1,Man United
52,13-11-2022,Brighton,1 - 2,Aston Villa
53,26-12-2022,Aston Villa,1 - 3,Liverpool
54,01-01-2023,Tottenham,0 - 2,Aston Villa
55,04-01-2023,Aston Villa,1 - 1,Wolves
56,13-01-2023,Aston Villa,2 - 1,Leeds
57,21-01-2023,Southampton,0 - 1,Aston Villa
58,04-02-2023,Aston Villa,2 - 4,Leicester
59,12-02-2023,Man City,3 - 1,Aston Villa
60,18-02-2023,Aston Villa,2 - 4,Arsenal
61,25-02-2023,Everton,0 - 2,Aston Villa
62,04-03-2023,Aston Villa,1 - 0,Crystal Palace
63,12-03-2023,West Ham,1 - 1,Aston Villa
64,18-03-2023,Aston Villa,3 - 0,Bournemouth
65,01-04-2023,Chelsea,0 - 2,Aston Villa
66,04-04-2023,Leicester,1 - 2,Aston Villa
67,08-04-2023,Aston Villa,2 - 0,Nott'm Forest
68,15-04-2023,Aston Villa,3 - 0,Newcastle
69,22-04-2023,Brentford,1 - 1,Aston Villa
70,25-04-2023,Aston Villa,1 - 0,Fulham
71,30-04-2023,Man United,1 - 0,Aston Villa
72,06-05-2023,Wolves,1 - 0,Aston Villa
73,13-05-2023,Aston Villa,2 - 1,Tottenham
74,20-05-2023,Liverpool,1 - 1,Aston Villa
75,28-05-2023,Aston Villa,2 - 1,Brighton
76,06-08-2022,Bournemouth,2 - 0,Aston Villa
77,13-08-2022,Man City,4 - 0,Bournemouth
78,20-08-2022,Bournemouth,0 - 3,Arsenal
79,27-08-2022,Liverpool,9 - 0,Bournemouth
80,31-08-2022,Bournemouth,0 - 0,Wolves
81,03-09-2022,Nott'm Forest,2 - 3,Bournemouth
82,17-09-2022,Newcastle,1 - 1,Bournemouth
83,01-10-2022,Bournemouth,0 - 0,Brentford
84,08-10-2022,Bournemouth,2 - 1,Leicester
85,15-10-2022,Fulham,2 - 2,Bournemouth
86,19-10-2022,Bournemouth,0 - 1,Southampton
87,24-10-2022,West Ham,2 - 0,Bournemouth
88,29-10-2022,Bournemouth,2 - 3,Tottenham
89,05-11-2022,Leeds,4 - 3,Bournemouth
90,12-11-2022,Bournemouth,3 - 0,Everton
91,27-12-2022,Chelsea,2 - 0,Bournemouth
92,31-12-2022,Bournemouth,0 - 2,Crystal Palace
93,03-01-2023,Man United,3 - 0,Bournemouth
94,14-01-2023,Brentford,2 - 0,Bournemouth
95,21-01-2023,Bournemouth,1 - 1,Nott'm Forest
96,04-02-2023,Brighton,1 - 0,Bournemouth
97,11-02-2023,Bournemouth,1 - 1,Newcastle
98,18-02-2023,Wolves,0 - 1,Bournemouth
99,25-02-2023,Bournemouth,1 - 4,Man City
100,04-03-2023,Arsenal,3 - 2,Bournemouth
101,11-03-2023,Bournemouth,1 - 0,Liverpool
102,18-03-2023,Aston Villa,3 - 0,Bournemouth
103,01-04-2023,Bournemouth,2 - 1,Fulham
104,04-04-2023,Bournemouth,0 - 2,Brighton
105,08-04-2023,Leicester,0 - 1,Bournemouth
106,15-04-2023,Tottenham,2 - 3,Bournemouth
107,23-04-2023,Bournemouth,0 - 4,West Ham
108,27-04-2023,Southampton,0 - 1,Bournemouth
109,30-04-2023,Bournemouth,4 - 1,Leeds
110,06-05-2023,Bournemouth,1 - 3,Chelsea
111,13-05-2023,Crystal Palace,2 - 0,Bournemouth
112,20-05-2023,Bournemouth,0 - 1,Man United
113,28-05-2023,Everton,1 - 0,Bournemouth
114,07-08-2022,Leicester,2 - 2,Brentford
115,13-08-2022,Brentford,4 - 0,Man United
116,20-08-2022,Fulham,3 - 2,Brentford
117,27-08-2022,Brentford,1 - 1,Everton
118,30-08-2022,Crystal Palace,1 - 1,Brentford
119,03-09-2022,Brentford,5 - 2,Leeds
120,18-09-2022,Brentford,0 - 3,Arsenal
121,01-10-2022,Bournemouth,0 - 0,Brentford
122,08-10-2022,Newcastle,5 - 1,Brentford
123,14-10-2022,Brentford,2 - 0,Brighton
124,19-10-2022,Brentford,0 - 0,Chelsea
125,23-10-2022,Aston Villa,4 - 0,Brentford
126,29-10-2022,Brentford,1 - 1,Wolves
127,05-11-2022,Nott'm Forest,2 - 2,Brentford
128,12-11-2022,Man City,1 - 2,Brentford
129,26-12-2022,Brentford,2 - 2,Tottenham
130,30-12-2022,West Ham,0 - 2,Brentford
131,02-01-2023,Brentford,3 - 1,Liverpool
132,14-01-2023,Brentford,2 - 0,Bournemouth
133,22-01-2023,Leeds,0 - 0,Brentford
134,04-02-2023,Brentford,3 - 0,Southampton
135,11-02-2023,Arsenal,1 - 1,Brentford
136,18-02-2023,Brentford,1 - 1,Crystal Palace
137,06-03-2023,Brentford,3 - 2,Fulham
138,11-03-2023,Everton,1 - 0,Brentford
139,15-03-2023,Southampton,0 - 2,Brentford
140,18-03-2023,Brentford,1 - 1,Leicester
141,01-04-2023,Brighton,3 - 3,Brentford
142,05-04-2023,Man United,1 - 0,Brentford
143,08-04-2023,Brentford,1 - 2,Newcastle
144,15-04-2023,Wolves,2 - 0,Brentford
145,22-04-2023,Brentford,1 - 1,Aston Villa
146,26-04-2023,Chelsea,0 - 2,Brentford
147,29-04-2023,Brentford,2 - 1,Nott'm Forest
148,06-05-2023,Liverpool,1 - 0,Brentford
149,14-05-2023,Brentford,2 - 0,West Ham
150,20-05-2023,Tottenham,1 - 3,Brentford
151,28-05-2023,Brentford,1 - 0,Man City
152,07-08-2022,Man United,1 - 2,Brighton
153,13-08-2022,Brighton,0 - 0,Newcastle
154,21-08-2022,West Ham,0 - 2,Brighton
155,27-08-2022,Brighton,1 - 0,Leeds
156,30-08-2022,Fulham,2 - 1,Brighton
157,04-09-2022,Brighton,5 - 2,Leicester
158,01-10-2022,Liverpool,3 - 3,Brighton
159,08-10-2022,Brighton,0 - 1,Tottenham
160,14-10-2022,Brentford,2 - 0,Brighton
161,18-10-2022,Brighton,0 - 0,Nott'm Forest
162,22-10-2022,Man City,3 - 1,Brighton
163,29-10-2022,Brighton,4 - 1,Chelsea
164,05-11-2022,Wolves,2 - 3,Brighton
165,13-11-2022,Brighton,1 - 2,Aston Villa
166,26-12-2022,Southampton,1 - 3,Brighton
167,31-12-2022,Brighton,2 - 4,Arsenal
168,03-01-2023,Everton,1 - 4,Brighton
169,14-01-2023,Brighton,3 - 0,Liverpool
170,21-01-2023,Leicester,2 - 2,Brighton
171,04-02-2023,Brighton,1 - 0,Bournemouth
172,11-02-2023,Crystal Palace,1 - 1,Brighton
173,18-02-2023,Brighton,0 - 1,Fulham
174,04-03-2023,Brighton,4 - 0,West Ham
