,date,home_team,score,away_team
0,05-04-2023,Kooteepee,0 - 2,AC oulu
1,14-04-2023,Valkeakosk Haka,2 - 2,AC oulu
2,23-04-2023,HJK,1 - 1,AC oulu
3,29-04-2023,AC oulu,0 - 3,SJK
4,05-05-2023,Ilves,1 - 2,AC oulu
5,09-05-2023,AC oulu,0 - 2,KuPS Kuopio
6,13-05-2023,AC oulu,2 - 1,vaasa PS
7,22-05-2023,AC oulu,1 - 3,FC Honka
8,26-05-2023,FC Lahti,1 - 2,AC oulu
9,03-06-2023,AC oulu,3 - 2,IFK Mariehamn
10,07-06-2023,KuPS Kuopio,1 - 0,AC oulu
11,11-06-2023,AC oulu,1 - 1,FC Inter Turku
12,27-06-2023,SJK,1 - 4,AC oulu
13,01-07-2023,AC oulu,3 - 0,Valkeakosk Haka
14,09-07-2023,IFK Mariehamn,1 - 2,AC oulu
15,15-07-2023,vaasa PS,? - ?,AC oulu
16,05-04-2023,HJK,2 - 0,FC Honka
17,15-04-2023,FC Honka,0 - 0,SJK
18,19-04-2023,KuPS Kuopio,0 - 1,FC Honka
19,24-04-2023,Valkeakosk Haka,1 - 1,FC Honka
20,29-04-2023,vaasa PS,0 - 0,FC Honka
21,05-05-2023,FC Honka,3 - 0,FC Lahti
22,09-05-2023,FC Honka,0 - 2,Valkeakosk Haka
23,13-05-2023,FC Honka,0 - 1,KuPS Kuopio
24,22-05-2023,AC oulu,1 - 3,FC Honka
25,26-05-2023,FC Honka,0 - 1,Kooteepee
26,03-06-2023,FC Inter Turku,2 - 0,FC Honka
27,07-06-2023,FC Honka,2 - 1,IFK Mariehamn
28,11-06-2023,Ilves,1 - 1,FC Honka
29,27-06-2023,FC Honka,1 - 0,vaasa PS
30,01-07-2023,FC Honka,1 - 1,HJK
31,08-07-2023,SJK,1 - 0,FC Honka
32,05-04-2023,KuPS Kuopio,1 - 2,FC Inter Turku
33,15-04-2023,Ilves,2 - 1,FC Inter Turku
34,05-05-2023,SJK,2 - 1,FC Inter Turku
35,13-05-2023,HJK,4 - 1,FC Inter Turku
36,22-05-2023,FC Inter Turku,1 - 1,IFK Mariehamn
37,26-05-2023,FC Inter Turku,3 - 0,Valkeakosk Haka
38,03-06-2023,FC Inter Turku,2 - 0,FC Honka
39,07-06-2023,FC Inter Turku,2 - 1,Kooteepee
40,11-06-2023,AC oulu,1 - 1,FC Inter Turku
41,27-06-2023,FC Inter Turku,2 - 1,Ilves
42,01-07-2023,vaasa PS,3 - 0,FC Inter Turku
