,date,home_team,score,away_team
0,05-08-2022,Lyon,2 - 1,Ajaccio
1,14-08-2022,Ajaccio,0 - 0,Lens
2,21-08-2022,Rennes,2 - 1,Ajaccio
3,26-08-2022,Ajaccio,1 - 3,Lille
4,31-08-2022,Montpellier,2 - 0,Ajaccio
5,04-09-2022,Ajaccio,0 - 1,Lorient
6,11-09-2022,Ajaccio,0 - 1,Nice
7,18-09-2022,Brest,0 - 1,Ajaccio
8,02-10-2022,Ajaccio,1 - 3,Clermont
9,08-10-2022,Marseille,1 - 2,Ajaccio
10,16-10-2022,Troyes,1 - 1,Ajaccio
11,21-10-2022,Ajaccio,0 - 3,Paris SG
12,30-10-2022,Auxerre,1 - 0,Ajaccio
13,05-11-2022,Ajaccio,4 - 2,Strasbourg
14,13-11-2022,Nantes,2 - 2,Ajaccio
15,28-12-2022,Ajaccio,1 - 0,Angers
16,01-01-2023,Toulouse,2 - 0,Ajaccio
17,11-01-2023,Ajaccio,0 - 1,Reims
18,15-01-2023,Monaco,7 - 1,Ajaccio
19,29-01-2023,Ajaccio,0 - 2,Lyon
20,01-02-2023,Angers,1 - 2,Ajaccio
21,05-02-2023,Ajaccio,0 - 2,Nantes
22,10-02-2023,Nice,3 - 0,Ajaccio
23,19-02-2023,Lorient,3 - 0,Ajaccio
24,26-02-2023,Ajaccio,2 - 1,Troyes
25,05-03-2023,Reims,1 - 0,Ajaccio
26,12-03-2023,Ajaccio,0 - 1,Montpellier
27,19-03-2023,Ajaccio,0 - 2,Monaco
28,02-04-2023,Clermont,2 - 1,Ajaccio
29,09-04-2023,Ajaccio,0 - 3,Auxerre
30,16-04-2023,Strasbourg,3 - 1,Ajaccio
31,23-04-2023,Ajaccio,0 - 0,Brest
32,29-04-2023,Lille,3 - 0,Ajaccio
33,07-05-2023,Ajaccio,0 - 0,Toulouse
34,13-05-2023,Paris SG,5 - 0,Ajaccio
35,21-05-2023,Ajaccio,0 - 5,Rennes
36,27-05-2023,Lens,3 - 0,Ajaccio
37,03-06-2023,Ajaccio,1 - 0,Marseille
38,07-08-2022,Angers,0 - 0,Nantes
39,14-08-2022,Auxerre,2 - 2,Angers
40,21-08-2022,Angers,1 - 3,Brest
41,28-08-2022,Troyes,3 - 1,Angers
42,31-08-2022,Angers,2 - 4,Reims
43,03-09-2022,Lyon,5 - 0,Angers
