,date,home_team,score,away_team
0,06-08-2022,Augsburg,0 - 4,Freiburg
1,13-08-2022,Leverkusen,1 - 2,Augsburg
2,20-08-2022,Augsburg,1 - 2,Mainz
3,27-08-2022,Hoffenheim,1 - 0,Augsburg
4,04-09-2022,Augsburg,0 - 2,Hertha
5,09-09-2022,Werder Bremen,0 - 1,Augsburg
6,17-09-2022,Augsburg,1 - 0,Bayern Munich
7,02-10-2022,Schalke 04,2 - 3,Augsburg
8,08-10-2022,Augsburg,1 - 1,Wolfsburg
9,16-10-2022,FC Koln,3 - 2,Augsburg
10,22-10-2022,Augsburg,3 - 3,RB Leipzig
11,29-10-2022,Stuttgart,2 - 1,Augsburg
12,05-11-2022,Augsburg,1 - 2,Ein Frankfurt
13,09-11-2022,Union Berlin,2 - 2,Augsburg
14,12-11-2022,Augsburg,0 - 1,Bochum
15,22-01-2023,Dortmund,4 - 3,Augsburg
16,25-01-2023,Augsburg,1 - 0,M''gladbach
17,28-01-2023,Freiburg,3 - 1,Augsburg
18,03-02-2023,Augsburg,1 - 0,Leverkusen
19,11-02-2023,Mainz,3 - 1,Augsburg
20,17-02-2023,Augsburg,1 - 0,Hoffenheim
21,25-02-2023,Hertha,2 - 0,Augsburg
22,04-03-2023,Augsburg,2 - 1,Werder Bremen
23,11-03-2023,Bayern Munich,5 - 3,Augsburg
24,18-03-2023,Augsburg,1 - 1,Schalke 04
25,01-04-2023,Wolfsburg,2 - 2,Augsburg
26,08-04-2023,Augsburg,1 - 3,FC Koln
27,15-04-2023,RB Leipzig,3 - 2,Augsburg
28,21-04-2023,Augsburg,1 - 1,Stuttgart
29,29-04-2023,Ein Frankfurt,1 - 1,Augsburg
30,06-05-2023,Augsburg,1 - 0,Union Berlin
31,13-05-2023,Bochum,3 - 2,Augsburg
32,21-05-2023,Augsburg,0 - 3,Dortmund
33,27-05-2023,M''gladbach,2 - 0,Augsburg
34,05-08-2022,Ein Frankfurt,1 - 6,Bayern Munich
35,14-08-2022,Bayern Munich,2 - 0,Wolfsburg
36,21-08-2022,Bochum,0 - 7,Bayern Munich
37,27-08-2022,Bayern Munich,1 - 1,M''gladbach
38,03-09-2022,Union Berlin,1 - 1,Bayern Munich
39,10-09-2022,Bayern Munich,2 - 2,Stuttgart
40,17-09-2022,Augsburg,1 - 0,Bayern Munich
41,30-09-2022,Bayern Munich,4 - 0,Leverkusen
42,08-10-2022,Dortmund,2 - 2,Bayern Munich
43,16-10-2022,Bayern Munich,5 - 0,Freiburg
44,22-10-2022,Hoffenheim,0 - 2,Bayern Munich
45,29-10-2022,Bayern Munich,6 - 2,Mainz
46,05-11-2022,Hertha,2 - 3,Bayern Munich
47,08-11-2022,Bayern Munich,6 - 1,Werder Bremen
48,12-11-2022,Schalke 04,0 - 2,Bayern Munich
49,20-01-2023,RB Leipzig,1 - 1,Bayern Munich
50,24-01-2023,Bayern Munich,1 - 1,FC Koln
51,28-01-2023,Bayern Munich,1 - 1,Ein Frankfurt
52,05-02-2023,Wolfsburg,2 - 4,Bayern Munich
53,11-02-2023,Bayern Munich,3 - 0,Bochum
54,18-02-2023,M''gladbach,3 - 2,Bayern Munich
55,26-02-2023,Bayern Munich,3 - 0,Union Berlin
56,04-03-2023,Stuttgart,1 - 2,Bayern Munich
57,11-03-2023,Bayern Munich,5 - 3,Augsburg
58,19-03-2023,Leverkusen,2 - 1,Bayern Munich
59,01-04-2023,Bayern Munich,4 - 2,Dortmund
60,08-04-2023,Freiburg,0 - 1,Bayern Munich
61,15-04-2023,Bayern Munich,1 - 1,Hoffenheim
62,22-04-2023,Mainz,3 - 1,Bayern Munich
63,30-04-2023,Bayern Munich,2 - 0,Hertha
64,06-05-2023,Werder Bremen,1 - 2,Bayern Munich
65,13-05-2023,Bayern Munich,6 - 0,Schalke 04
66,20-05-2023,Bayern Munich,1 - 3,RB Leipzig
67,27-05-2023,FC Koln,1 - 2,Bayern Munich
68,06-08-2022,Bochum,1 - 2,Mainz
69,13-08-2022,Hoffenheim,3 - 2,Bochum
70,21-08-2022,Bochum,0 - 7,Bayern Munich
71,26-08-2022,Freiburg,1 - 0,Bochum
72,03-09-2022,Bochum,0 - 2,Werder Bremen
73,10-09-2022,Schalke 04,3 - 1,Bochum
74,18-09-2022,Bochum,1 - 1,FC Koln
75,01-10-2022,RB Leipzig,4 - 0,Bochum
76,08-10-2022,Bochum,3 - 0,Ein Frankfurt
77,15-10-2022,Stuttgart,4 - 1,Bochum
78,23-10-2022,Bochum,2 - 1,Union Berlin
79,29-10-2022,Wolfsburg,4 - 0,Bochum
80,05-11-2022,Dortmund,3 - 0,Bochum
81,08-11-2022,Bochum,2 - 1,M''gladbach
82,12-11-2022,Augsburg,0 - 1,Bochum
83,21-01-2023,Bochum,3 - 1,Hertha
84,25-01-2023,Leverkusen,2 - 0,Bochum
85,28-01-2023,Mainz,5 - 2,Bochum
86,04-02-2023,Bochum,5 - 2,Hoffenheim
87,11-02-2023,Bayern Munich,3 - 0,Bochum
88,18-02-2023,Bochum,0 - 2,Freiburg
89,25-02-2023,Werder Bremen,3 - 0,Bochum
90,04-03-2023,Bochum,0 - 2,Schalke 04
91,10-03-2023,FC Koln,0 - 2,Bochum
92,18-03-2023,Bochum,1 - 0,RB Leipzig
93,31-03-2023,Ein Frankfurt,1 - 1,Bochum
94,09-04-2023,Bochum,2 - 3,Stuttgart
95,16-04-2023,Union Berlin,1 - 1,Bochum
96,22-04-2023,Bochum,1 - 5,Wolfsburg
97,28-04-2023,Bochum,1 - 1,Dortmund
98,06-05-2023,M''gladbach,2 - 0,Bochum
99,13-05-2023,Bochum,3 - 2,Augsburg
100,20-05-2023,Hertha,1 - 1,Bochum
101,27-05-2023,Bochum,3 - 0,Leverkusen
102,06-08-2022,Dortmund,1 - 0,Leverkusen
103,12-08-2022,Freiburg,1 - 3,Dortmund
104,20-08-2022,Dortmund,2 - 3,Werder Bremen
105,27-08-2022,Hertha,0 - 1,Dortmund
106,02-09-2022,Dortmund,1 - 0,Hoffenheim
107,10-09-2022,RB Leipzig,3 - 0,Dortmund
108,17-09-2022,Dortmund,1 - 0,Schalke 04
109,01-10-2022,FC Koln,3 - 2,Dortmund
110,08-10-2022,Dortmund,2 - 2,Bayern Munich
111,16-10-2022,Union Berlin,2 - 0,Dortmund
112,22-10-2022,Dortmund,5 - 0,Stuttgart
113,29-10-2022,Ein Frankfurt,1 - 2,Dortmund
114,05-11-2022,Dortmund,3 - 0,Bochum
115,08-11-2022,Wolfsburg,2 - 0,Dortmund
116,11-11-2022,M''gladbach,4 - 2,Dortmund
117,22-01-2023,Dortmund,4 - 3,Augsburg
118,25-01-2023,Mainz,1 - 2,Dortmund
119,29-01-2023,Leverkusen,0 - 2,Dortmund
120,04-02-2023,Dortmund,5 - 1,Freiburg
121,11-02-2023,Werder Bremen,0 - 2,Dortmund
122,19-02-2023,Dortmund,4 - 1,Hertha
123,25-02-2023,Hoffenheim,0 - 1,Dortmund
124,03-03-2023,Dortmund,2 - 1,RB Leipzig
125,11-03-2023,Schalke 04,2 - 2,Dortmund
126,18-03-2023,Dortmund,6 - 1,FC Koln
127,01-04-2023,Bayern Munich,4 - 2,Dortmund
128,08-04-2023,Dortmund,2 - 1,Union Berlin
129,15-04-2023,Stuttgart,3 - 3,Dortmund
130,22-04-2023,Dortmund,4 - 0,Ein Frankfurt
131,28-04-2023,Bochum,1 - 1,Dortmund
132,07-05-2023,Dortmund,6 - 0,Wolfsburg
133,13-05-2023,Dortmund,5 - 2,M''gladbach
134,21-05-2023,Augsburg,0 - 3,Dortmund
135,27-05-2023,Dortmund,2 - 2,Mainz
136,05-08-2022,Ein Frankfurt,1 - 6,Bayern Munich
137,13-08-2022,Hertha,1 - 1,Ein Frankfurt
138,21-08-2022,Ein Frankfurt,1 - 1,FC Koln
139,28-08-2022,Werder Bremen,3 - 4,Ein Frankfurt
140,03-09-2022,Ein Frankfurt,4 - 0,RB Leipzig
141,10-09-2022,Ein Frankfurt,0 - 1,Wolfsburg
142,17-09-2022,Stuttgart,1 - 3,Ein Frankfurt
143,01-10-2022,Ein Frankfurt,2 - 0,Union Berlin
144,08-10-2022,Bochum,3 - 0,Ein Frankfurt
145,15-10-2022,Ein Frankfurt,5 - 1,Leverkusen
146,22-10-2022,M''gladbach,1 - 3,Ein Frankfurt
147,29-10-2022,Ein Frankfurt,1 - 2,Dortmund
148,05-11-2022,Augsburg,1 - 2,Ein Frankfurt
149,09-11-2022,Ein Frankfurt,4 - 2,Hoffenheim
150,13-11-2022,Mainz,1 - 1,Ein Frankfurt
151,21-01-2023,Ein Frankfurt,3 - 0,Schalke 04
152,25-01-2023,Freiburg,1 - 1,Ein Frankfurt
153,28-01-2023,Bayern Munich,1 - 1,Ein Frankfurt
154,04-02-2023,Ein Frankfurt,3 - 0,Hertha
155,12-02-2023,FC Koln,3 - 0,Ein Frankfurt
156,18-02-2023,Ein Frankfurt,2 - 0,Werder Bremen
157,25-02-2023,RB Leipzig,2 - 1,Ein Frankfurt
158,05-03-2023,Wolfsburg,2 - 2,Ein Frankfurt
159,11-03-2023,Ein Frankfurt,1 - 1,Stuttgart
160,19-03-2023,Union Berlin,2 - 0,Ein Frankfurt
161,31-03-2023,Ein Frankfurt,1 - 1,Bochum
162,08-04-2023,Leverkusen,3 - 1,Ein Frankfurt
163,15-04-2023,Ein Frankfurt,1 - 1,M''gladbach
164,22-04-2023,Dortmund,4 - 0,Ein Frankfurt
165,29-04-2023,Ein Frankfurt,1 - 1,Augsburg
166,06-05-2023,Hoffenheim,3 - 1,Ein Frankfurt
167,13-05-2023,Ein Frankfurt,3 - 0,Mainz
168,20-05-2023,Schalke 04,2 - 2,Ein Frankfurt
169,27-05-2023,Ein Frankfurt,2 - 1,Freiburg
170,07-08-2022,FC Koln,3 - 1,Schalke 04
171,13-08-2022,RB Leipzig,2 - 2,FC Koln
172,21-08-2022,Ein Frankfurt,1 - 1,FC Koln
173,28-08-2022,FC Koln,0 - 0,Stuttgart
174,03-09-2022,Wolfsburg,2 - 4,FC Koln
175,11-09-2022,FC Koln,0 - 1,Union Berlin
176,18-09-2022,Bochum,1 - 1,FC Koln
177,01-10-2022,FC Koln,3 - 2,Dortmund
178,09-10-2022,M''gladbach,5 - 2,FC Koln
179,16-10-2022,FC Koln,3 - 2,Augsburg
180,21-10-2022,Mainz,5 - 0,FC Koln
181,30-10-2022,FC Koln,1 - 1,Hoffenheim
182,06-11-2022,Freiburg,2 - 0,FC Koln
183,09-11-2022,FC Koln,1 - 2,Leverkusen
184,12-11-2022,Hertha,2 - 0,FC Koln
185,21-01-2023,FC Koln,7 - 1,Werder Bremen
186,24-01-2023,Bayern Munich,1 - 1,FC Koln
187,29-01-2023,Schalke 04,0 - 0,FC Koln
188,04-02-2023,FC Koln,0 - 0,RB Leipzig
189,12-02-2023,FC Koln,3 - 0,Ein Frankfurt
190,18-02-2023,Stuttgart,3 - 0,FC Koln
191,25-02-2023,FC Koln,0 - 2,Wolfsburg
192,04-03-2023,Union Berlin,0 - 0,FC Koln
193,10-03-2023,FC Koln,0 - 2,Bochum
194,18-03-2023,Dortmund,6 - 1,FC Koln
195,02-04-2023,FC Koln,0 - 0,M''gladbach
196,08-04-2023,Augsburg,1 - 3,FC Koln
197,15-04-2023,FC Koln,1 - 1,Mainz
198,22-04-2023,Hoffenheim,1 - 3,FC Koln
199,29-04-2023,FC Koln,0 - 1,Freiburg
200,05-05-2023,Leverkusen,1 - 2,FC Koln
201,12-05-2023,FC Koln,5 - 2,Hertha
202,20-05-2023,Werder Bremen,1 - 1,FC Koln
203,27-05-2023,FC Koln,1 - 2,Bayern Munich
204,06-08-2022,Augsburg,0 - 4,Freiburg
205,12-08-2022,Freiburg,1 - 3,Dortmund
