,date,home_team,score,away_team
0,20-08-2022,Lamia,0 - 3,AEK
1,27-08-2022,AEK,0 - 1,Volos New Football Club
2,04-09-2022,AEK,2 - 0,Giannina
3,11-09-2022,Panathinaikos,2 - 1,AEK
4,17-09-2022,Panetolikos,0 - 2,AEK
5,03-10-2022,AEK,4 - 1,Ionikos
6,09-10-2022,Aris Thessalon.,0 - 2,AEK
7,16-10-2022,AEK,1 - 0,Atromitos
8,24-10-2022,Levadeiakos,0 - 2,AEK
9,30-10-2022,AEK,2 - 0,PAOK
10,06-11-2022,Asteras Tripolis,1 - 1,AEK
11,09-11-2022,AEK,3 - 0,OFI
12,13-11-2022,Olympiakos,0 - 0,AEK
13,21-12-2022,AEK,3 - 0,Lamia
14,28-12-2022,Volos New Football Club,0 - 4,AEK
15,03-01-2023,Giannina,2 - 1,AEK
16,08-01-2023,AEK,1 - 0,Panathinaikos
17,15-01-2023,AEK,4 - 1,Panetolikos
18,22-01-2023,Ionikos,1 - 2,AEK
19,29-01-2023,AEK,3 - 0,Aris Thessalon.
20,13-02-2023,AEK,3 - 0,Levadeiakos
21,19-02-2023,PAOK,2 - 0,AEK
22,25-02-2023,AEK,2 - 0,Asteras Tripolis
23,05-03-2023,OFI,0 - 3,AEK
24,08-03-2023,Atromitos,0 - 1,AEK
25,12-03-2023,AEK,1 - 3,Olympiakos
26,19-03-2023,AEK,0 - 0,Panathinaikos
27,02-04-2023,PAOK,0 - 1,AEK
28,05-04-2023,Volos New Football Club,0 - 1,AEK
29,09-04-2023,AEK,3 - 1,Aris Thessalon.
30,23-04-2023,Olympiakos,1 - 3,AEK
31,26-04-2023,AEK,4 - 0,PAOK
32,30-04-2023,Panathinaikos,0 - 0,AEK
33,03-05-2023,AEK,0 - 0,Olympiakos
34,08-05-2023,Aris Thessalon.,1 - 2,AEK
35,14-05-2023,AEK,4 - 0,Volos New Football Club
36,21-08-2022,Aris Thessalon.,3 - 0,Levadeiakos
37,28-08-2022,Panetolikos,3 - 1,Aris Thessalon.
38,04-09-2022,Aris Thessalon.,0 - 0,PAOK
39,11-09-2022,Asteras Tripolis,0 - 2,Aris Thessalon.
40,18-09-2022,Aris Thessalon.,2 - 1,Olympiakos
41,02-10-2022,Volos New Football Club,2 - 0,Aris Thessalon.
42,09-10-2022,Aris Thessalon.,0 - 2,AEK
43,15-10-2022,Aris Thessalon.,2 - 1,Ionikos
44,23-10-2022,Panathinaikos,1 - 0,Aris Thessalon.
45,30-10-2022,Aris Thessalon.,1 - 1,OFI
46,05-11-2022,Atromitos,0 - 0,Aris Thessalon.
47,08-11-2022,Aris Thessalon.,5 - 0,Lamia
48,13-11-2022,Giannina,0 - 4,Aris Thessalon.
49,21-12-2022,Levadeiakos,1 - 1,Aris Thessalon.
50,29-12-2022,Aris Thessalon.,1 - 0,Panetolikos
51,04-01-2023,PAOK,1 - 0,Aris Thessalon.
52,08-01-2023,Aris Thessalon.,3 - 0,Asteras Tripolis
53,15-01-2023,Olympiakos,1 - 0,Aris Thessalon.
54,21-01-2023,Aris Thessalon.,3 - 0,Volos New Football Club
55,29-01-2023,AEK,3 - 0,Aris Thessalon.
56,04-02-2023,Ionikos,1 - 0,Aris Thessalon.
57,12-02-2023,Aris Thessalon.,1 - 2,Panathinaikos
58,20-02-2023,OFI,0 - 3,Aris Thessalon.
59,26-02-2023,Aris Thessalon.,2 - 1,Atromitos
60,05-03-2023,Lamia,2 - 1,Aris Thessalon.
61,12-03-2023,Aris Thessalon.,3 - 1,Giannina
62,19-03-2023,Aris Thessalon.,1 - 2,PAOK
63,02-04-2023,Olympiakos,2 - 2,Aris Thessalon.
64,05-04-2023,Aris Thessalon.,0 - 1,Panathinaikos
65,09-04-2023,AEK,3 - 1,Aris Thessalon.
66,23-04-2023,Volos New Football Club,0 - 3,Aris Thessalon.
67,26-04-2023,Aris Thessalon.,2 - 1,Olympiakos
68,30-04-2023,PAOK,3 - 2,Aris Thessalon.
69,03-05-2023,Aris Thessalon.,4 - 2,Volos New Football Club
70,08-05-2023,Aris Thessalon.,1 - 2,AEK
71,14-05-2023,Panathinaikos,1 - 1,Aris Thessalon.
72,19-08-2022,Volos New Football Club,3 - 3,Asteras Tripolis
73,29-08-2022,Asteras Tripolis,0 - 0,Olympiakos
74,03-09-2022,Lamia,0 - 0,Asteras Tripolis
75,11-09-2022,Asteras Tripolis,0 - 2,Aris Thessalon.
76,18-09-2022,Levadeiakos,1 - 1,Asteras Tripolis
77,02-10-2022,Asteras Tripolis,2 - 0,OFI
78,09-10-2022,Panathinaikos,1 - 0,Asteras Tripolis
79,16-10-2022,Asteras Tripolis,0 - 0,Panetolikos
80,23-10-2022,PAOK,2 - 2,Asteras Tripolis
81,31-10-2022,Giannina,2 - 1,Asteras Tripolis
82,06-11-2022,Asteras Tripolis,1 - 1,AEK
83,09-11-2022,Atromitos,2 - 0,Asteras Tripolis
84,14-11-2022,Asteras Tripolis,1 - 0,Ionikos
85,21-12-2022,Asteras Tripolis,0 - 0,Volos New Football Club
86,28-12-2022,Olympiakos,5 - 0,Asteras Tripolis
87,04-01-2023,Asteras Tripolis,3 - 0,Lamia
88,08-01-2023,Aris Thessalon.,3 - 0,Asteras Tripolis
89,15-01-2023,Asteras Tripolis,0 - 0,Levadeiakos
90,21-01-2023,OFI,1 - 0,Asteras Tripolis
91,30-01-2023,Asteras Tripolis,1 - 0,Panathinaikos
92,05-02-2023,Panetolikos,0 - 0,Asteras Tripolis
93,13-02-2023,Asteras Tripolis,2 - 2,PAOK
94,18-02-2023,Asteras Tripolis,1 - 1,Giannina
95,25-02-2023,AEK,2 - 0,Asteras Tripolis
96,04-03-2023,Asteras Tripolis,1 - 1,Atromitos
97,12-03-2023,Ionikos,1 - 0,Asteras Tripolis
98,18-03-2023,Asteras Tripolis,2 - 1,Panetolikos
99,01-04-2023,Ionikos,1 - 0,Asteras Tripolis
100,08-04-2023,Asteras Tripolis,0 - 1,Levadeiakos
101,22-04-2023,OFI,1 - 1,Asteras Tripolis
102,29-04-2023,Asteras Tripolis,0 - 0,Lamia
103,06-05-2023,Giannina,1 - 0,Asteras Tripolis
104,13-05-2023,Asteras Tripolis,1 - 1,Atromitos
105,20-08-2022,Atromitos,3 - 1,OFI
106,28-08-2022,PAOK,2 - 1,Atromitos
107,04-09-2022,Atromitos,1 - 1,Panetolikos
108,10-09-2022,Ionikos,1 - 4,Atromitos
109,17-09-2022,Atromitos,0 - 0,Lamia
110,02-10-2022,Olympiakos,2 - 0,Atromitos
111,10-10-2022,Atromitos,2 - 1,Giannina
112,16-10-2022,AEK,1 - 0,Atromitos
113,22-10-2022,Atromitos,0 - 2,Volos New Football Club
114,30-10-2022,Levadeiakos,2 - 1,Atromitos
115,05-11-2022,Atromitos,0 - 0,Aris Thessalon.
116,09-11-2022,Atromitos,2 - 0,Asteras Tripolis
117,13-11-2022,Panathinaikos,2 - 0,Atromitos
118,22-12-2022,OFI,0 - 1,Atromitos
