,date,home_team,score,away_team
0,13-08-2022,Sampdoria,0 - 2,Atalanta
1,21-08-2022,Atalanta,1 - 1,Milan
2,28-08-2022,Verona,0 - 1,Atalanta
3,01-09-2022,Atalanta,3 - 1,Torino
4,05-09-2022,Monza,0 - 2,Atalanta
5,11-09-2022,Atalanta,1 - 1,Cremonese
6,18-09-2022,Roma,0 - 1,Atalanta
7,02-10-2022,Atalanta,1 - 0,Fiorentina
8,09-10-2022,Udinese,2 - 2,Atalanta
9,15-10-2022,Atalanta,2 - 1,Sassuolo
10,23-10-2022,Atalanta,0 - 2,Lazio
11,30-10-2022,Empoli,0 - 2,Atalanta
12,05-11-2022,Atalanta,1 - 2,Napoli
13,09-11-2022,Lecce,2 - 1,Atalanta
14,13-11-2022,Atalanta,2 - 3,Inter
15,04-01-2023,Spezia,2 - 2,Atalanta
16,09-01-2023,Bologna,1 - 2,Atalanta
17,15-01-2023,Atalanta,8 - 2,Salernitana
18,22-01-2023,Juventus,3 - 3,Atalanta
19,28-01-2023,Atalanta,2 - 0,Sampdoria
20,04-02-2023,Sassuolo,1 - 0,Atalanta
21,11-02-2023,Lazio,0 - 2,Atalanta
22,19-02-2023,Atalanta,1 - 2,Lecce
23,26-02-2023,Milan,2 - 0,Atalanta
24,04-03-2023,Atalanta,0 - 0,Udinese
25,11-03-2023,Napoli,2 - 0,Atalanta
26,17-03-2023,Atalanta,2 - 1,Empoli
27,01-04-2023,Cremonese,1 - 3,Atalanta
28,08-04-2023,Atalanta,0 - 2,Bologna
29,17-04-2023,Fiorentina,1 - 1,Atalanta
30,24-04-2023,Atalanta,3 - 1,Roma
31,29-04-2023,Torino,1 - 2,Atalanta
32,03-05-2023,Atalanta,3 - 2,Spezia
33,07-05-2023,Atalanta,0 - 2,Juventus
34,13-05-2023,Salernitana,1 - 0,Atalanta
35,20-05-2023,Atalanta,3 - 1,Verona
36,27-05-2023,Inter,3 - 2,Atalanta
37,04-06-2023,Atalanta,5 - 2,Monza
38,14-08-2022,Lazio,2 - 1,Bologna
39,21-08-2022,Bologna,1 - 1,Verona
40,27-08-2022,Milan,2 - 0,Bologna
41,01-09-2022,Bologna,1 - 1,Salernitana
42,04-09-2022,Spezia,2 - 2,Bologna
43,11-09-2022,Bologna,2 - 1,Fiorentina
44,17-09-2022,Bologna,0 - 1,Empoli
45,02-10-2022,Juventus,3 - 0,Bologna
46,08-10-2022,Bologna,1 - 1,Sampdoria
47,16-10-2022,Napoli,3 - 2,Bologna
48,23-10-2022,Bologna,2 - 0,Lecce
49,31-10-2022,Monza,1 - 2,Bologna
