,date,home_team,score,away_team
0,07-08-2022,AZ Alkmaar,2 - 0,GO Ahead Eagles
1,14-08-2022,Sparta Rotterdam,2 - 3,AZ Alkmaar
2,28-08-2022,Cambuur,0 - 1,AZ Alkmaar
3,01-09-2022,AZ Alkmaar,1 - 1,NEC Nijmegen
4,04-09-2022,FC Emmen,0 - 3,AZ Alkmaar
5,11-09-2022,AZ Alkmaar,1 - 1,Twente
6,18-09-2022,AZ Alkmaar,2 - 1,Ajax
7,01-10-2022,Groningen,1 - 4,AZ Alkmaar
8,09-10-2022,Utrecht,1 - 2,AZ Alkmaar
9,16-10-2022,AZ Alkmaar,1 - 3,Feyenoord
10,23-10-2022,Excelsior,2 - 1,AZ Alkmaar
11,30-10-2022,AZ Alkmaar,2 - 1,FC Volendam
12,06-11-2022,Waalwijk,3 - 1,AZ Alkmaar
13,12-11-2022,PSV Eindhoven,0 - 1,AZ Alkmaar
14,07-01-2023,AZ Alkmaar,1 - 1,Vitesse
15,14-01-2023,Heerenveen,0 - 2,AZ Alkmaar
16,22-01-2023,AZ Alkmaar,3 - 1,Fortuna Sittard
17,25-01-2023,GO Ahead Eagles,1 - 4,AZ Alkmaar
18,28-01-2023,AZ Alkmaar,5 - 5,Utrecht
19,04-02-2023,FC Volendam,1 - 1,AZ Alkmaar
20,10-02-2023,AZ Alkmaar,5 - 0,Excelsior
21,18-02-2023,Feyenoord,2 - 1,AZ Alkmaar
22,25-02-2023,AZ Alkmaar,2 - 1,Cambuur
23,03-03-2023,Vitesse,0 - 1,AZ Alkmaar
24,11-03-2023,AZ Alkmaar,1 - 0,Groningen
25,19-03-2023,Twente,2 - 1,AZ Alkmaar
26,01-04-2023,AZ Alkmaar,1 - 1,Heerenveen
27,08-04-2023,AZ Alkmaar,0 - 1,Sparta Rotterdam
28,16-04-2023,Fortuna Sittard,0 - 3,AZ Alkmaar
29,23-04-2023,AZ Alkmaar,3 - 0,Waalwijk
30,06-05-2023,Ajax,0 - 0,AZ Alkmaar
31,14-05-2023,AZ Alkmaar,5 - 1,FC Emmen
32,21-05-2023,NEC Nijmegen,0 - 3,AZ Alkmaar
33,28-05-2023,AZ Alkmaar,1 - 2,PSV Eindhoven
34,06-08-2022,Fortuna Sittard,2 - 3,Ajax
35,14-08-2022,Ajax,6 - 1,Groningen
36,21-08-2022,Sparta Rotterdam,0 - 1,Ajax
37,28-08-2022,Utrecht,0 - 2,Ajax
38,03-09-2022,Ajax,4 - 0,Cambuur
39,10-09-2022,Ajax,5 - 0,Heerenveen
40,18-09-2022,AZ Alkmaar,2 - 1,Ajax
41,01-10-2022,Ajax,1 - 1,GO Ahead Eagles
42,08-10-2022,FC Volendam,2 - 4,Ajax
43,16-10-2022,Ajax,7 - 1,Excelsior
44,22-10-2022,Waalwijk,1 - 4,Ajax
45,06-11-2022,Ajax,1 - 2,PSV Eindhoven
46,09-11-2022,Ajax,2 - 2,Vitesse
47,12-11-2022,FC Emmen,3 - 3,Ajax
48,08-01-2023,NEC Nijmegen,1 - 1,Ajax
49,14-01-2023,Ajax,0 - 0,Twente
50,22-01-2023,Feyenoord,1 - 1,Ajax
51,26-01-2023,Ajax,1 - 1,FC Volendam
52,29-01-2023,Excelsior,1 - 4,Ajax
53,05-02-2023,Cambuur,0 - 5,Ajax
54,12-02-2023,Ajax,3 - 1,Waalwijk
55,19-02-2023,Ajax,4 - 0,Sparta Rotterdam
56,26-02-2023,Vitesse,1 - 2,Ajax
57,05-03-2023,Ajax,1 - 0,NEC Nijmegen
58,12-03-2023,Heerenveen,2 - 4,Ajax
59,19-03-2023,Ajax,2 - 3,Feyenoord
60,02-04-2023,GO Ahead Eagles,0 - 0,Ajax
61,09-04-2023,Ajax,4 - 0,Fortuna Sittard
62,16-04-2023,Ajax,3 - 1,FC Emmen
63,23-04-2023,PSV Eindhoven,3 - 0,Ajax
64,06-05-2023,Ajax,0 - 0,AZ Alkmaar
65,16-05-2023,Groningen,2 - 3,Ajax
66,21-05-2023,Ajax,3 - 1,Utrecht
67,28-05-2023,Twente,3 - 1,Ajax
68,22-05-2023,FC Eindhoven,1 - 0,Almere City FC
69,30-05-2023,VVV Venlo,1 - 1,Almere City FC
70,06-06-2023,Almere City FC,2 - 0,FC Emmen
71,11-06-2023,FC Emmen,1 - 2,Almere City FC
72,06-08-2022,Cambuur,0 - 2,Excelsior
73,13-08-2022,Utrecht,0 - 0,Cambuur
74,20-08-2022,Fortuna Sittard,1 - 4,Cambuur
75,28-08-2022,Cambuur,0 - 1,AZ Alkmaar
76,03-09-2022,Ajax,4 - 0,Cambuur
77,11-09-2022,Cambuur,0 - 1,Groningen
78,17-09-2022,Waalwijk,5 - 1,Cambuur
79,01-10-2022,Cambuur,3 - 0,PSV Eindhoven
80,09-10-2022,GO Ahead Eagles,0 - 0,Cambuur
81,15-10-2022,Cambuur,0 - 3,Vitesse
82,23-10-2022,Cambuur,0 - 1,Twente
83,04-11-2022,Cambuur,0 - 1,NEC Nijmegen
84,10-11-2022,Feyenoord,1 - 0,Cambuur
85,13-11-2022,Heerenveen,2 - 1,Cambuur
86,08-01-2023,Cambuur,0 - 3,FC Volendam
87,15-01-2023,FC Emmen,0 - 0,Cambuur
88,21-01-2023,Cambuur,0 - 3,Sparta Rotterdam
89,26-01-2023,Groningen,0 - 1,Cambuur
90,29-01-2023,Cambuur,1 - 2,Fortuna Sittard
91,05-02-2023,Cambuur,0 - 5,Ajax
92,11-02-2023,NEC Nijmegen,0 - 0,Cambuur
93,19-02-2023,Cambuur,1 - 2,Heerenveen
94,25-02-2023,AZ Alkmaar,2 - 1,Cambuur
