,date,home_team,score,away_team
0,18-07-2022,Gornik Zabrze,0 - 2,Cracovia Krakow
1,23-07-2022,Cracovia Krakow,2 - 0,Korona Kielce
2,29-07-2022,Cracovia Krakow,3 - 0,Legia Warsaw
3,05-08-2022,FKS Stal Mielec,2 - 0,Cracovia Krakow
4,13-08-2022,Cracovia Krakow,0 - 1,Piast Gliwice
5,20-08-2022,Slask Wroclaw,1 - 1,Cracovia Krakow
6,28-08-2022,Cracovia Krakow,0 - 2,KS Warta Poznań
7,03-09-2022,Cracovia Krakow,3 - 0,Raków Częst.
8,09-09-2022,Widzew Łódź,2 - 0,Cracovia Krakow
9,17-09-2022,Cracovia Krakow,1 - 1,Pogon Szczecin
10,30-09-2022,Radomiak Radom,0 - 2,Cracovia Krakow
11,08-10-2022,Cracovia Krakow,0 - 1,Lechia Gdansk
12,16-10-2022,Miedz Legnica,1 - 1,Cracovia Krakow
13,23-10-2022,Cracovia Krakow,0 - 0,Lech Poznan
14,30-10-2022,Zaglebie Lubin,0 - 2,Cracovia Krakow
15,05-11-2022,Cracovia Krakow,1 - 0,Jagiellonia Bialystok
16,11-11-2022,Wisla Plock SA,1 - 0,Cracovia Krakow
17,30-01-2023,Cracovia Krakow,2 - 0,Gornik Zabrze
18,06-02-2023,Korona Kielce,2 - 1,Cracovia Krakow
19,12-02-2023,Legia Warsaw,2 - 2,Cracovia Krakow
20,17-02-2023,Cracovia Krakow,2 - 1,FKS Stal Mielec
21,25-02-2023,Piast Gliwice,2 - 1,Cracovia Krakow
22,05-03-2023,Cracovia Krakow,1 - 1,Slask Wroclaw
23,12-03-2023,KS Warta Poznań,0 - 0,Cracovia Krakow
24,18-03-2023,Raków Częst.,4 - 1,Cracovia Krakow
25,02-04-2023,Cracovia Krakow,1 - 1,Widzew Łódź
26,08-04-2023,Pogon Szczecin,3 - 2,Cracovia Krakow
27,15-04-2023,Cracovia Krakow,3 - 0,Radomiak Radom
28,22-04-2023,Lechia Gdansk,1 - 2,Cracovia Krakow
29,01-05-2023,Cracovia Krakow,1 - 1,Miedz Legnica
30,06-05-2023,Lech Poznan,3 - 0,Cracovia Krakow
31,13-05-2023,Cracovia Krakow,0 - 1,Zaglebie Lubin
32,20-05-2023,Jagiellonia Bialystok,1 - 1,Cracovia Krakow
33,27-05-2023,Cracovia Krakow,3 - 0,Wisla Plock SA
34,16-07-2022,Lech Poznan,0 - 2,FKS Stal Mielec
35,25-07-2022,FKS Stal Mielec,1 - 1,Radomiak Radom
36,31-07-2022,Raków Częst.,3 - 2,FKS Stal Mielec
37,05-08-2022,FKS Stal Mielec,2 - 0,Cracovia Krakow
38,13-08-2022,Gornik Zabrze,1 - 3,FKS Stal Mielec
39,21-08-2022,Piast Gliwice,4 - 0,FKS Stal Mielec
40,26-08-2022,FKS Stal Mielec,0 - 1,Legia Warsaw
41,03-09-2022,FKS Stal Mielec,2 - 0,Slask Wroclaw
42,12-09-2022,Jagiellonia Bialystok,4 - 0,FKS Stal Mielec
43,17-09-2022,FKS Stal Mielec,0 - 3,Widzew Łódź
44,02-10-2022,Miedz Legnica,0 - 2,FKS Stal Mielec
45,07-10-2022,FKS Stal Mielec,4 - 2,Pogon Szczecin
46,14-10-2022,Korona Kielce,0 - 2,FKS Stal Mielec
47,22-10-2022,FKS Stal Mielec,1 - 1,Wisla Plock SA
48,30-10-2022,Lechia Gdansk,1 - 0,FKS Stal Mielec
49,04-11-2022,FKS Stal Mielec,3 - 0,Zaglebie Lubin
50,11-11-2022,KS Warta Poznań,1 - 1,FKS Stal Mielec
51,27-01-2023,FKS Stal Mielec,0 - 0,Lech Poznan
52,05-02-2023,Radomiak Radom,1 - 0,FKS Stal Mielec
53,10-02-2023,FKS Stal Mielec,0 - 0,Raków Częst.
54,17-02-2023,Cracovia Krakow,2 - 1,FKS Stal Mielec
55,26-02-2023,FKS Stal Mielec,0 - 1,Gornik Zabrze
56,03-03-2023,FKS Stal Mielec,0 - 2,Piast Gliwice
57,12-03-2023,Legia Warsaw,2 - 0,FKS Stal Mielec
58,18-03-2023,Slask Wroclaw,1 - 1,FKS Stal Mielec
59,03-04-2023,FKS Stal Mielec,1 - 1,Jagiellonia Bialystok
60,08-04-2023,Widzew Łódź,0 - 2,FKS Stal Mielec
61,17-04-2023,FKS Stal Mielec,1 - 1,Miedz Legnica
62,22-04-2023,Pogon Szczecin,4 - 2,FKS Stal Mielec
63,30-04-2023,FKS Stal Mielec,2 - 1,Korona Kielce
64,07-05-2023,Wisla Plock SA,0 - 0,FKS Stal Mielec
65,14-05-2023,FKS Stal Mielec,0 - 0,Lechia Gdansk
66,19-05-2023,Zaglebie Lubin,2 - 0,FKS Stal Mielec
67,27-05-2023,FKS Stal Mielec,1 - 0,KS Warta Poznań
68,18-07-2022,Gornik Zabrze,0 - 2,Cracovia Krakow
69,30-07-2022,Radomiak Radom,0 - 3,Gornik Zabrze
70,07-08-2022,Gornik Zabrze,1 - 0,Raków Częst.
71,13-08-2022,Gornik Zabrze,1 - 3,FKS Stal Mielec
72,19-08-2022,Legia Warsaw,2 - 2,Gornik Zabrze
73,26-08-2022,Gornik Zabrze,1 - 1,Jagiellonia Bialystok
74,05-09-2022,Wisla Plock SA,1 - 1,Gornik Zabrze
75,10-09-2022,Gornik Zabrze,3 - 3,Piast Gliwice
76,18-09-2022,Korona Kielce,1 - 2,Gornik Zabrze
77,01-10-2022,Gornik Zabrze,2 - 3,Zaglebie Lubin
78,08-10-2022,Slask Wroclaw,4 - 1,Gornik Zabrze
79,16-10-2022,Gornik Zabrze,1 - 2,Lech Poznan
80,23-10-2022,KS Warta Poznań,0 - 0,Gornik Zabrze
81,28-10-2022,Gornik Zabrze,3 - 0,Widzew Łódź
82,05-11-2022,Pogon Szczecin,1 - 4,Gornik Zabrze
83,12-11-2022,Gornik Zabrze,0 - 3,Miedz Legnica
84,18-11-2022,Lechia Gdansk,2 - 1,Gornik Zabrze
85,30-01-2023,Cracovia Krakow,2 - 0,Gornik Zabrze
86,04-02-2023,Gornik Zabrze,1 - 1,Lechia Gdansk
87,12-02-2023,Gornik Zabrze,0 - 0,Radomiak Radom
88,18-02-2023,Raków Częst.,2 - 0,Gornik Zabrze
89,26-02-2023,FKS Stal Mielec,0 - 1,Gornik Zabrze
90,04-03-2023,Gornik Zabrze,0 - 1,Legia Warsaw
91,11-03-2023,Jagiellonia Bialystok,2 - 1,Gornik Zabrze
92,17-03-2023,Gornik Zabrze,3 - 2,Wisla Plock SA
93,31-03-2023,Piast Gliwice,1 - 0,Gornik Zabrze
94,06-04-2023,Gornik Zabrze,1 - 1,Korona Kielce
95,14-04-2023,Zaglebie Lubin,0 - 2,Gornik Zabrze
96,23-04-2023,Gornik Zabrze,2 - 0,Slask Wroclaw
97,30-04-2023,Lech Poznan,0 - 1,Gornik Zabrze
98,05-05-2023,Gornik Zabrze,2 - 0,KS Warta Poznań
99,13-05-2023,Widzew Łódź,2 - 3,Gornik Zabrze
100,20-05-2023,Gornik Zabrze,2 - 1,Pogon Szczecin
101,27-05-2023,Miedz Legnica,0 - 0,Gornik Zabrze
102,16-07-2022,Jagiellonia Bialystok,2 - 0,Piast Gliwice
103,22-07-2022,Jagiellonia Bialystok,0 - 2,Widzew Łódź
104,31-07-2022,Pogon Szczecin,1 - 0,Jagiellonia Bialystok
105,06-08-2022,Jagiellonia Bialystok,1 - 2,Radomiak Radom
106,14-08-2022,Raków Częst.,2 - 2,Jagiellonia Bialystok
107,19-08-2022,Jagiellonia Bialystok,2 - 1,Miedz Legnica
108,26-08-2022,Gornik Zabrze,1 - 1,Jagiellonia Bialystok
109,04-09-2022,Zaglebie Lubin,1 - 1,Jagiellonia Bialystok
110,12-09-2022,Jagiellonia Bialystok,4 - 0,FKS Stal Mielec
111,17-09-2022,Lechia Gdansk,2 - 2,Jagiellonia Bialystok
112,02-10-2022,Jagiellonia Bialystok,4 - 1,Korona Kielce
113,07-10-2022,Jagiellonia Bialystok,1 - 1,Wisla Plock SA
