,date,home_team,score,away_team
0,05-08-2022,Benfica,4 - 0,Arouca
1,15-08-2022,Arouca,1 - 0,Gil Vicente
2,20-08-2022,CD Santa Clara,1 - 2,Arouca
3,28-08-2022,Arouca,0 - 6,Sp Braga
4,04-09-2022,Casa Pia,0 - 0,Arouca
5,11-09-2022,Arouca,1 - 2,Boavista
6,18-09-2022,Arouca,2 - 2,Guimaraes
7,02-10-2022,Pacos Ferreira,1 - 1,Arouca
8,10-10-2022,Arouca,4 - 1,FC Famalicão
9,23-10-2022,Maritimo,1 - 1,Arouca
10,29-10-2022,Arouca,1 - 0,Sp Lisbon
11,05-11-2022,Vizela,0 - 1,Arouca
12,12-11-2022,Arouca,0 - 1,Rio Ave
13,28-12-2022,Porto,5 - 1,Arouca
14,07-01-2023,Arouca,2 - 0,Estoril
15,15-01-2023,Chaves,1 - 1,Arouca
16,20-01-2023,Arouca,4 - 0,Portimonense SC
17,31-01-2023,Arouca,0 - 3,Benfica
18,05-02-2023,Gil Vicente,1 - 1,Arouca
19,11-02-2023,Arouca,1 - 0,CD Santa Clara
20,19-02-2023,Sp Braga,2 - 0,Arouca
21,25-02-2023,Arouca,2 - 0,Casa Pia
22,03-03-2023,Boavista,0 - 0,Arouca
23,11-03-2023,Guimaraes,0 - 2,Arouca
24,18-03-2023,Arouca,1 - 1,Pacos Ferreira
25,03-04-2023,FC Famalicão,0 - 1,Arouca
26,08-04-2023,Arouca,1 - 0,Maritimo
27,16-04-2023,Sp Lisbon,1 - 1,Arouca
28,23-04-2023,Arouca,1 - 0,Vizela
29,28-04-2023,Rio Ave,1 - 0,Arouca
30,08-05-2023,Arouca,0 - 1,Porto
31,15-05-2023,Estoril,2 - 0,Arouca
32,20-05-2023,Arouca,1 - 0,Chaves
33,27-05-2023,Portimonense SC,0 - 2,Arouca
34,05-08-2022,Benfica,4 - 0,Arouca
35,13-08-2022,Casa Pia,0 - 1,Benfica
36,27-08-2022,Boavista,0 - 3,Benfica
37,30-08-2022,Benfica,3 - 2,Pacos Ferreira
38,02-09-2022,Benfica,2 - 1,Vizela
39,10-09-2022,FC Famalicão,0 - 1,Benfica
40,18-09-2022,Benfica,5 - 0,Maritimo
41,01-10-2022,Guimaraes,0 - 0,Benfica
42,08-10-2022,Benfica,4 - 2,Rio Ave
43,21-10-2022,Porto,0 - 1,Benfica
44,29-10-2022,Benfica,5 - 0,Chaves
45,06-11-2022,Estoril,1 - 5,Benfica
46,13-11-2022,Benfica,3 - 1,Gil Vicente
47,30-12-2022,Sp Braga,3 - 0,Benfica
48,06-01-2023,Benfica,1 - 0,Portimonense SC
49,15-01-2023,Benfica,2 - 2,Sp Lisbon
50,21-01-2023,CD Santa Clara,0 - 3,Benfica
51,26-01-2023,Pacos Ferreira,0 - 2,Benfica
52,31-01-2023,Arouca,0 - 3,Benfica
53,04-02-2023,Benfica,3 - 0,Casa Pia
54,20-02-2023,Benfica,3 - 1,Boavista
55,25-02-2023,Vizela,0 - 2,Benfica
56,03-03-2023,Benfica,2 - 0,FC Famalicão
57,12-03-2023,Maritimo,0 - 3,Benfica
58,18-03-2023,Benfica,5 - 1,Guimaraes
59,02-04-2023,Rio Ave,0 - 1,Benfica
60,07-04-2023,Benfica,1 - 2,Porto
61,15-04-2023,Chaves,1 - 0,Benfica
62,23-04-2023,Benfica,1 - 0,Estoril
63,29-04-2023,Gil Vicente,0 - 2,Benfica
64,06-05-2023,Benfica,1 - 0,Sp Braga
65,13-05-2023,Portimonense SC,1 - 5,Benfica
66,21-05-2023,Sp Lisbon,2 - 2,Benfica
67,27-05-2023,Benfica,3 - 0,CD Santa Clara
68,07-08-2022,Portimonense SC,0 - 1,Boavista
69,14-08-2022,Boavista,2 - 1,CD Santa Clara
70,21-08-2022,Casa Pia,2 - 0,Boavista
71,27-08-2022,Boavista,0 - 3,Benfica
72,05-09-2022,Boavista,1 - 0,Pacos Ferreira
73,11-09-2022,Arouca,1 - 2,Boavista
74,17-09-2022,Boavista,2 - 1,Sp Lisbon
75,02-10-2022,FC Famalicão,4 - 0,Boavista
76,09-10-2022,Boavista,1 - 1,Maritimo
77,23-10-2022,Guimaraes,3 - 2,Boavista
78,30-10-2022,Boavista,2 - 2,Vizela
79,06-11-2022,Rio Ave,1 - 0,Boavista
80,12-11-2022,Boavista,1 - 4,Porto
81,08-01-2023,Boavista,1 - 0,Gil Vicente
82,14-01-2023,Sp Braga,1 - 0,Boavista
83,23-01-2023,Boavista,1 - 1,Chaves
84,29-01-2023,Boavista,4 - 2,Portimonense SC
85,04-02-2023,CD Santa Clara,2 - 2,Boavista
86,09-02-2023,Estoril,2 - 1,Boavista
87,13-02-2023,Boavista,0 - 0,Casa Pia
88,20-02-2023,Benfica,3 - 1,Boavista
89,26-02-2023,Pacos Ferreira,1 - 3,Boavista
90,03-03-2023,Boavista,0 - 0,Arouca
91,12-03-2023,Sp Lisbon,3 - 0,Boavista
92,19-03-2023,Boavista,1 - 2,FC Famalicão
93,02-04-2023,Maritimo,4 - 2,Boavista
94,07-04-2023,Boavista,2 - 1,Guimaraes
95,17-04-2023,Vizela,1 - 1,Boavista
96,22-04-2023,Boavista,3 - 2,Rio Ave
97,30-04-2023,Porto,1 - 0,Boavista
98,06-05-2023,Boavista,1 - 0,Estoril
99,12-05-2023,Gil Vicente,3 - 1,Boavista
100,20-05-2023,Boavista,1 - 1,Sp Braga
101,27-05-2023,Chaves,1 - 4,Boavista
102,07-08-2022,CD Santa Clara,0 - 0,Casa Pia
103,14-08-2022,Boavista,2 - 1,CD Santa Clara
104,20-08-2022,CD Santa Clara,1 - 2,Arouca
105,28-08-2022,FC Famalicão,1 - 0,CD Santa Clara
106,04-09-2022,CD Santa Clara,2 - 1,Maritimo
107,09-09-2022,Guimaraes,1 - 0,CD Santa Clara
108,17-09-2022,CD Santa Clara,1 - 1,Pacos Ferreira
109,02-10-2022,Rio Ave,1 - 0,CD Santa Clara
110,08-10-2022,CD Santa Clara,1 - 2,Sp Lisbon
111,23-10-2022,Vizela,0 - 1,CD Santa Clara
112,29-10-2022,CD Santa Clara,1 - 1,Porto
113,07-11-2022,Chaves,0 - 0,CD Santa Clara
114,14-11-2022,CD Santa Clara,3 - 1,Estoril
115,29-12-2022,Gil Vicente,1 - 0,CD Santa Clara
116,05-01-2023,CD Santa Clara,0 - 4,Sp Braga
117,13-01-2023,Portimonense SC,0 - 0,CD Santa Clara
118,21-01-2023,CD Santa Clara,0 - 3,Benfica
119,29-01-2023,Casa Pia,2 - 1,CD Santa Clara
120,04-02-2023,CD Santa Clara,2 - 2,Boavista
121,11-02-2023,Arouca,1 - 0,CD Santa Clara
122,19-02-2023,CD Santa Clara,1 - 3,FC Famalicão
123,25-02-2023,Maritimo,3 - 1,CD Santa Clara
124,05-03-2023,CD Santa Clara,1 - 3,Guimaraes
125,11-03-2023,Pacos Ferreira,1 - 0,CD Santa Clara
126,17-03-2023,CD Santa Clara,0 - 2,Rio Ave
127,01-04-2023,Sp Lisbon,3 - 0,CD Santa Clara
128,07-04-2023,CD Santa Clara,0 - 1,Vizela
129,15-04-2023,Porto,2 - 1,CD Santa Clara
130,23-04-2023,CD Santa Clara,1 - 1,Chaves
131,30-04-2023,Estoril,3 - 0,CD Santa Clara
132,06-05-2023,CD Santa Clara,3 - 2,Gil Vicente
133,14-05-2023,Sp Braga,5 - 3,CD Santa Clara
134,20-05-2023,CD Santa Clara,1 - 0,Portimonense SC
135,27-05-2023,Benfica,3 - 0,CD Santa Clara
136,07-08-2022,CD Santa Clara,0 - 0,Casa Pia
137,13-08-2022,Casa Pia,0 - 1,Benfica
138,21-08-2022,Casa Pia,2 - 0,Boavista
139,29-08-2022,Guimaraes,0 - 1,Casa Pia
140,04-09-2022,Casa Pia,0 - 0,Arouca
141,11-09-2022,Pacos Ferreira,2 - 3,Casa Pia
142,18-09-2022,Casa Pia,1 - 0,FC Famalicão
143,03-10-2022,Maritimo,1 - 2,Casa Pia
144,09-10-2022,Casa Pia,0 - 1,Vizela
145,22-10-2022,Sp Lisbon,3 - 1,Casa Pia
