,date,home_team,score,away_team
0,16-07-2022,CSKA Moscow,2 - 0,Ural
1,23-07-2022,CSKA Moscow,3 - 0,FK SOCHI
2,31-07-2022,Nizhny Novgorod,2 - 2,CSKA Moscow
3,06-08-2022,CSKA Moscow,4 - 1,Fakel Voronezh
4,13-08-2022,Zenit St Petersburg,2 - 1,CSKA Moscow
5,21-08-2022,CSKA Moscow,4 - 2,Terek Grozny
6,28-08-2022,Rostov,0 - 0,CSKA Moscow
7,04-09-2022,Krylya Samara,0 - 1,CSKA Moscow
8,10-09-2022,CSKA Moscow,4 - 1,Krasnodar
9,17-09-2022,Torpedo Moskva,1 - 0,CSKA Moscow
10,01-10-2022,FC Khimki,1 - 2,CSKA Moscow
11,08-10-2022,CSKA Moscow,1 - 1,Dinamo Moscow
12,16-10-2022,CSKA Moscow,2 - 2,Spartak M
13,23-10-2022,Gazovik Orenburg,2 - 2,CSKA Moscow
14,29-10-2022,Lokomotiv M,0 - 1,CSKA Moscow
15,05-11-2022,CSKA Moscow,0 - 1,Nizhny Novgorod
16,13-11-2022,Dinamo Moscow,2 - 1,CSKA Moscow
17,05-03-2023,FK SOCHI,2 - 0,CSKA Moscow
18,12-03-2023,CSKA Moscow,4 - 0,Krylya Samara
19,19-03-2023,CSKA Moscow,1 - 0,Zenit St Petersburg
20,02-04-2023,Fakel Voronezh,0 - 2,CSKA Moscow
21,09-04-2023,CSKA Moscow,3 - 0,FC Khimki
22,15-04-2023,Ural,1 - 2,CSKA Moscow
23,23-04-2023,CSKA Moscow,1 - 1,Lokomotiv M
24,29-04-2023,Terek Grozny,1 - 3,CSKA Moscow
25,07-05-2023,CSKA Moscow,2 - 1,Gazovik Orenburg
26,13-05-2023,CSKA Moscow,3 - 0,Torpedo Moskva
27,21-05-2023,Spartak M,2 - 1,CSKA Moscow
28,27-05-2023,Krasnodar,0 - 0,CSKA Moscow
29,03-06-2023,CSKA Moscow,4 - 1,Rostov
30,17-07-2022,Dinamo Moscow,1 - 1,Rostov
31,24-07-2022,Dinamo Moscow,4 - 0,Torpedo Moskva
32,30-07-2022,Fakel Voronezh,3 - 3,Dinamo Moscow
33,07-08-2022,Krylya Samara,0 - 2,Dinamo Moscow
34,13-08-2022,Dinamo Moscow,0 - 0,Krasnodar
35,20-08-2022,Dinamo Moscow,1 - 0,Spartak M
36,27-08-2022,Nizhny Novgorod,2 - 2,Dinamo Moscow
37,03-09-2022,Dinamo Moscow,2 - 1,Ural
38,09-09-2022,FK SOCHI,2 - 1,Dinamo Moscow
39,17-09-2022,Dinamo Moscow,0 - 2,Zenit St Petersburg
40,02-10-2022,Terek Grozny,2 - 1,Dinamo Moscow
41,08-10-2022,CSKA Moscow,1 - 1,Dinamo Moscow
42,15-10-2022,Dinamo Moscow,3 - 2,Gazovik Orenburg
43,22-10-2022,Lokomotiv M,1 - 3,Dinamo Moscow
44,29-10-2022,Dinamo Moscow,6 - 1,FC Khimki
45,06-11-2022,Rostov,2 - 1,Dinamo Moscow
46,13-11-2022,Dinamo Moscow,2 - 1,CSKA Moscow
47,05-03-2023,Dinamo Moscow,1 - 0,Krylya Samara
48,11-03-2023,Krasnodar,3 - 1,Dinamo Moscow
49,18-03-2023,Ural,0 - 1,Dinamo Moscow
50,01-04-2023,Dinamo Moscow,0 - 2,FK SOCHI
51,08-04-2023,Spartak M,3 - 3,Dinamo Moscow
52,15-04-2023,Dinamo Moscow,3 - 1,Nizhny Novgorod
53,22-04-2023,Zenit St Petersburg,3 - 1,Dinamo Moscow
54,28-04-2023,Dinamo Moscow,0 - 2,Fakel Voronezh
55,06-05-2023,FC Khimki,0 - 1,Dinamo Moscow
56,14-05-2023,Dinamo Moscow,0 - 3,Terek Grozny
57,20-05-2023,Torpedo Moskva,0 - 3,Dinamo Moscow
58,28-05-2023,Dinamo Moscow,2 - 4,Lokomotiv M
59,03-06-2023,Gazovik Orenburg,3 - 0,Dinamo Moscow
60,07-06-2023,Enisey,0 - 1,Fakel Voronezh
61,10-06-2023,Fakel Voronezh,2 - 0,Enisey
62,15-07-2022,FC Khimki,1 - 1,Zenit St Petersburg
63,24-07-2022,FC Khimki,3 - 0,Nizhny Novgorod
64,31-07-2022,Rostov,1 - 0,FC Khimki
65,07-08-2022,Torpedo Moskva,1 - 3,FC Khimki
66,14-08-2022,FC Khimki,1 - 3,Terek Grozny
67,20-08-2022,FC Khimki,0 - 3,Lokomotiv M
68,26-08-2022,FK SOCHI,4 - 1,FC Khimki
69,03-09-2022,Gazovik Orenburg,3 - 1,FC Khimki
70,10-09-2022,FC Khimki,0 - 0,Krylya Samara
71,18-09-2022,Krasnodar,3 - 1,FC Khimki
72,01-10-2022,FC Khimki,1 - 2,CSKA Moscow
73,07-10-2022,Ural,2 - 1,FC Khimki
74,15-10-2022,FC Khimki,0 - 0,Fakel Voronezh
75,23-10-2022,Spartak M,5 - 0,FC Khimki
76,29-10-2022,Dinamo Moscow,6 - 1,FC Khimki
77,04-11-2022,FC Khimki,2 - 0,Gazovik Orenburg
78,13-11-2022,FC Khimki,0 - 2,FK SOCHI
79,03-03-2023,Fakel Voronezh,1 - 1,FC Khimki
80,12-03-2023,Zenit St Petersburg,3 - 2,FC Khimki
81,19-03-2023,FC Khimki,0 - 1,Rostov
82,02-04-2023,FC Khimki,0 - 6,Krasnodar
83,09-04-2023,CSKA Moscow,3 - 0,FC Khimki
84,15-04-2023,Krylya Samara,0 - 0,FC Khimki
85,22-04-2023,FC Khimki,4 - 2,Torpedo Moskva
86,30-04-2023,Lokomotiv M,5 - 1,FC Khimki
87,06-05-2023,FC Khimki,0 - 1,Dinamo Moscow
88,13-05-2023,FC Khimki,1 - 1,Spartak M
89,20-05-2023,Terek Grozny,3 - 0,FC Khimki
90,27-05-2023,FC Khimki,0 - 3,Ural
91,03-06-2023,Nizhny Novgorod,2 - 0,FC Khimki
92,17-07-2022,Torpedo Moskva,1 - 3,FK SOCHI
93,23-07-2022,CSKA Moscow,3 - 0,FK SOCHI
