,date,home_team,score,away_team
0,31-07-2022,Celtic,2 - 0,Aberdeen
1,06-08-2022,Aberdeen,4 - 1,St Mirren
2,13-08-2022,Aberdeen,2 - 3,Motherwell
3,20-08-2022,St Johnstone,0 - 1,Aberdeen
4,27-08-2022,Aberdeen,5 - 0,Livingston
5,03-09-2022,Ross County,1 - 1,Aberdeen
6,17-09-2022,Hibernian,3 - 1,Aberdeen
7,01-10-2022,Aberdeen,4 - 1,Kilmarnock
8,08-10-2022,Dundee United,4 - 0,Aberdeen
9,16-10-2022,Aberdeen,2 - 0,Hearts
10,22-10-2022,Motherwell,1 - 2,Aberdeen
11,29-10-2022,Rangers,4 - 1,Aberdeen
12,04-11-2022,Aberdeen,4 - 1,Hibernian
13,08-11-2022,Livingston,2 - 1,Aberdeen
14,12-11-2022,Aberdeen,1 - 0,Dundee United
15,17-12-2022,Aberdeen,0 - 1,Celtic
16,20-12-2022,Aberdeen,2 - 3,Rangers
17,24-12-2022,St Mirren,3 - 1,Aberdeen
18,28-12-2022,Kilmarnock,2 - 1,Aberdeen
19,02-01-2023,Aberdeen,0 - 0,Ross County
20,07-01-2023,Aberdeen,2 - 0,St Johnstone
21,18-01-2023,Hearts,5 - 0,Aberdeen
22,28-01-2023,Hibernian,6 - 0,Aberdeen
23,01-02-2023,Aberdeen,1 - 3,St Mirren
24,04-02-2023,Aberdeen,3 - 1,Motherwell
25,18-02-2023,Celtic,4 - 0,Aberdeen
26,25-02-2023,Aberdeen,1 - 0,Livingston
27,04-03-2023,Dundee United,1 - 3,Aberdeen
28,18-03-2023,Aberdeen,3 - 0,Hearts
29,01-04-2023,St Johnstone,0 - 1,Aberdeen
30,08-04-2023,Aberdeen,2 - 0,Kilmarnock
31,14-04-2023,Ross County,0 - 1,Aberdeen
32,23-04-2023,Aberdeen,2 - 0,Rangers
33,07-05-2023,Rangers,1 - 0,Aberdeen
34,13-05-2023,Aberdeen,0 - 0,Hibernian
35,20-05-2023,Hearts,2 - 1,Aberdeen
36,24-05-2023,Aberdeen,3 - 0,St Mirren
37,27-05-2023,Celtic,5 - 0,Aberdeen
38,19-05-2023,Partick,3 - 0,Ayr
39,26-05-2023,Ayr,0 - 5,Partick
40,31-07-2022,Celtic,2 - 0,Aberdeen
41,06-08-2022,Ross County,1 - 3,Celtic
42,14-08-2022,Kilmarnock,0 - 5,Celtic
43,21-08-2022,Celtic,2 - 0,Hearts
44,28-08-2022,Dundee United,0 - 9,Celtic
45,03-09-2022,Celtic,4 - 0,Rangers
46,18-09-2022,St Mirren,2 - 0,Celtic
47,01-10-2022,Celtic,2 - 1,Motherwell
48,08-10-2022,St Johnstone,1 - 2,Celtic
49,15-10-2022,Celtic,6 - 1,Hibernian
50,22-10-2022,Hearts,3 - 4,Celtic
51,30-10-2022,Livingston,0 - 3,Celtic
52,05-11-2022,Celtic,4 - 2,Dundee United
53,09-11-2022,Motherwell,1 - 2,Celtic
54,12-11-2022,Celtic,2 - 1,Ross County
55,17-12-2022,Aberdeen,0 - 1,Celtic
56,21-12-2022,Celtic,2 - 1,Livingston
57,24-12-2022,Celtic,4 - 1,St Johnstone
58,28-12-2022,Hibernian,0 - 4,Celtic
59,02-01-2023,Rangers,2 - 2,Celtic
60,07-01-2023,Celtic,2 - 0,Kilmarnock
61,18-01-2023,Celtic,4 - 0,St Mirren
62,29-01-2023,Dundee United,0 - 2,Celtic
63,01-02-2023,Celtic,3 - 0,Livingston
64,05-02-2023,St Johnstone,1 - 4,Celtic
65,18-02-2023,Celtic,4 - 0,Aberdeen
66,05-03-2023,St Mirren,1 - 5,Celtic
67,08-03-2023,Celtic,3 - 1,Hearts
68,18-03-2023,Celtic,3 - 1,Hibernian
69,02-04-2023,Ross County,0 - 2,Celtic
70,08-04-2023,Celtic,3 - 2,Rangers
71,16-04-2023,Kilmarnock,1 - 4,Celtic
72,22-04-2023,Celtic,1 - 1,Motherwell
73,07-05-2023,Hearts,0 - 2,Celtic
74,13-05-2023,Rangers,3 - 0,Celtic
75,20-05-2023,Celtic,2 - 2,St Mirren
76,24-05-2023,Hibernian,4 - 2,Celtic
77,27-05-2023,Celtic,5 - 0,Aberdeen
78,30-07-2022,Kilmarnock,1 - 1,Dundee United
79,07-08-2022,Dundee United,0 - 1,Livingston
80,14-08-2022,Hearts,4 - 1,Dundee United
81,20-08-2022,Dundee United,0 - 3,St Mirren
82,28-08-2022,Dundee United,0 - 9,Celtic
83,03-09-2022,Motherwell,0 - 0,Dundee United
84,17-09-2022,Rangers,2 - 1,Dundee United
85,01-10-2022,Dundee United,1 - 2,St Johnstone
86,08-10-2022,Dundee United,4 - 0,Aberdeen
87,11-10-2022,Dundee United,1 - 0,Hibernian
88,15-10-2022,Ross County,1 - 1,Dundee United
89,22-10-2022,St Mirren,2 - 1,Dundee United
90,29-10-2022,Dundee United,0 - 1,Motherwell
91,05-11-2022,Celtic,4 - 2,Dundee United
92,09-11-2022,Dundee United,4 - 0,Kilmarnock
93,12-11-2022,Aberdeen,1 - 0,Dundee United
94,24-12-2022,Dundee United,2 - 2,Hearts
95,28-12-2022,Dundee United,3 - 0,Ross County
96,02-01-2023,St Johnstone,0 - 1,Dundee United
97,08-01-2023,Dundee United,0 - 2,Rangers
98,14-01-2023,Hibernian,2 - 2,Dundee United
99,29-01-2023,Dundee United,0 - 2,Celtic
100,01-02-2023,Kilmarnock,1 - 0,Dundee United
101,04-02-2023,Hearts,3 - 1,Dundee United
102,18-02-2023,Dundee United,1 - 2,St Johnstone
103,25-02-2023,Ross County,4 - 0,Dundee United
104,04-03-2023,Dundee United,1 - 3,Aberdeen
105,08-03-2023,Livingston,1 - 1,Dundee United
106,18-03-2023,Dundee United,1 - 1,St Mirren
107,01-04-2023,Rangers,2 - 0,Dundee United
108,09-04-2023,Dundee United,2 - 1,Hibernian
109,15-04-2023,Motherwell,1 - 2,Dundee United
