,date,home_team,score,away_team
0,14-08-2022,Almeria,1 - 2,Real Madrid
1,22-08-2022,Elche,1 - 1,Almeria
2,27-08-2022,Almeria,2 - 1,Sevilla
3,05-09-2022,Valladolid,1 - 0,Almeria
4,12-09-2022,Almeria,0 - 1,Osasuna
5,17-09-2022,Mallorca,1 - 0,Almeria
6,30-09-2022,Ath Bilbao,4 - 0,Almeria
7,08-10-2022,Almeria,3 - 1,Vallecano
8,16-10-2022,Betis,3 - 1,Almeria
9,20-10-2022,Almeria,3 - 2,Girona
10,23-10-2022,Villarreal,2 - 1,Almeria
11,29-10-2022,Almeria,3 - 1,Celta
12,05-11-2022,Barcelona,2 - 0,Almeria
13,09-11-2022,Almeria,1 - 0,Getafe
14,30-12-2022,Cadiz,1 - 1,Almeria
15,08-01-2023,Almeria,0 - 2,Sociedad
16,15-01-2023,Almeria,1 - 1,Ath Madrid
17,23-01-2023,Valencia,2 - 2,Almeria
18,27-01-2023,Almeria,3 - 1,Espanol
19,06-02-2023,Vallecano,2 - 0,Almeria
20,11-02-2023,Almeria,2 - 3,Betis
21,17-02-2023,Girona,6 - 2,Almeria
22,26-02-2023,Almeria,1 - 0,Barcelona
23,04-03-2023,Almeria,0 - 2,Villarreal
24,12-03-2023,Sevilla,2 - 1,Almeria
25,18-03-2023,Almeria,1 - 1,Cadiz
26,02-04-2023,Celta,2 - 2,Almeria
27,09-04-2023,Almeria,2 - 1,Valencia
28,16-04-2023,Ath Madrid,2 - 1,Almeria
29,22-04-2023,Almeria,1 - 2,Ath Bilbao
30,26-04-2023,Getafe,1 - 2,Almeria
31,29-04-2023,Real Madrid,4 - 2,Almeria
32,02-05-2023,Almeria,2 - 1,Elche
33,13-05-2023,Osasuna,3 - 1,Almeria
34,20-05-2023,Almeria,3 - 0,Mallorca
35,23-05-2023,Sociedad,1 - 0,Almeria
36,28-05-2023,Almeria,0 - 0,Valladolid
37,04-06-2023,Espanol,3 - 3,Almeria
38,15-08-2022,Ath Bilbao,0 - 0,Mallorca
39,21-08-2022,Ath Bilbao,1 - 0,Valencia
40,29-08-2022,Cadiz,0 - 4,Ath Bilbao
41,04-09-2022,Ath Bilbao,0 - 1,Espanol
42,11-09-2022,Elche,1 - 4,Ath Bilbao
43,17-09-2022,Ath Bilbao,3 - 2,Vallecano
44,30-09-2022,Ath Bilbao,4 - 0,Almeria
45,08-10-2022,Sevilla,1 - 1,Ath Bilbao
46,15-10-2022,Ath Bilbao,0 - 1,Ath Madrid
47,18-10-2022,Getafe,2 - 2,Ath Bilbao
48,23-10-2022,Barcelona,4 - 0,Ath Bilbao
49,30-10-2022,Ath Bilbao,1 - 0,Villarreal
50,04-11-2022,Girona,2 - 1,Ath Bilbao
51,08-11-2022,Ath Bilbao,3 - 0,Valladolid
52,29-12-2022,Betis,0 - 0,Ath Bilbao
53,09-01-2023,Ath Bilbao,0 - 0,Osasuna
54,14-01-2023,Sociedad,3 - 1,Ath Bilbao
55,22-01-2023,Ath Bilbao,0 - 2,Real Madrid
56,29-01-2023,Celta,1 - 0,Ath Bilbao
57,03-02-2023,Ath Bilbao,4 - 1,Cadiz
58,11-02-2023,Valencia,1 - 2,Ath Bilbao
59,19-02-2023,Ath Madrid,1 - 0,Ath Bilbao
60,26-02-2023,Ath Bilbao,2 - 3,Girona
61,05-03-2023,Vallecano,0 - 0,Ath Bilbao
62,12-03-2023,Ath Bilbao,0 - 1,Barcelona
63,17-03-2023,Valladolid,1 - 3,Ath Bilbao
64,01-04-2023,Ath Bilbao,0 - 0,Getafe
65,08-04-2023,Espanol,1 - 2,Ath Bilbao
