,date,home_team,score,away_team
0,02-04-2023,Halmstad,2 - 1,AIK
1,10-04-2023,AIK,0 - 3,IFK Norrköping
2,16-04-2023,AIK,2 - 0,Hammarby IF
3,24-04-2023,IFK Varnamo,1 - 0,AIK
4,29-04-2023,AIK,0 - 0,IK Sirius
5,03-05-2023,Mjällby AIF,0 - 0,AIK
6,07-05-2023,Malmö FF,3 - 1,AIK
7,15-05-2023,AIK,2 - 2,IFK Goteborg
8,20-05-2023,Degerfors IF,2 - 1,AIK
9,28-05-2023,Djurgårdens IF,1 - 0,AIK
10,04-06-2023,AIK,1 - 1,Kalmar FF
11,11-06-2023,AIK,1 - 2,Elfsborg
12,01-07-2023,IF Brommapojkarna,0 - 2,AIK
13,08-07-2023,AIK,1 - 2,BK Hacken
14,17-07-2023,Varbergs BoIS,? - ?,AIK
15,03-04-2023,Elfsborg,0 - 2,BK Hacken
16,09-04-2023,BK Hacken,3 - 1,Hammarby IF
17,15-04-2023,BK Hacken,1 - 3,Kalmar FF
18,23-04-2023,IK Sirius,1 - 4,BK Hacken
19,29-04-2023,BK Hacken,3 - 1,IFK Varnamo
20,03-05-2023,BK Hacken,4 - 1,Djurgårdens IF
21,07-05-2023,Halmstad,1 - 0,BK Hacken
22,13-05-2023,BK Hacken,6 - 1,Degerfors IF
23,21-05-2023,Malmö FF,2 - 2,BK Hacken
24,24-05-2023,Djurgårdens IF,1 - 0,BK Hacken
25,29-05-2023,BK Hacken,4 - 1,IFK Goteborg
26,05-06-2023,Varbergs BoIS,0 - 2,BK Hacken
27,11-06-2023,BK Hacken,3 - 0,Mjällby AIF
28,02-07-2023,IFK Norrköping,2 - 2,BK Hacken
29,08-07-2023,AIK,1 - 2,BK Hacken
30,15-07-2023,BK Hacken,? - ?,IF Brommapojkarna
31,02-04-2023,Hammarby IF,3 - 1,Degerfors IF
32,08-04-2023,Degerfors IF,3 - 1,Halmstad
33,16-04-2023,Mjällby AIF,2 - 0,Degerfors IF
34,22-04-2023,Degerfors IF,1 - 2,Elfsborg
35,30-04-2023,Degerfors IF,2 - 1,Djurgårdens IF
36,04-05-2023,IFK Goteborg,6 - 0,Degerfors IF
37,08-05-2023,Degerfors IF,0 - 2,IFK Norrköping
38,13-05-2023,BK Hacken,6 - 1,Degerfors IF
39,20-05-2023,Degerfors IF,2 - 1,AIK
40,25-05-2023,Degerfors IF,2 - 2,Hammarby IF
41,29-05-2023,Degerfors IF,1 - 1,Varbergs BoIS
42,05-06-2023,Malmö FF,5 - 0,Degerfors IF
43,10-06-2023,Kalmar FF,2 - 1,Degerfors IF
44,01-07-2023,Degerfors IF,0 - 2,IFK Varnamo
45,08-07-2023,IF Brommapojkarna,1 - 2,Degerfors IF
46,15-07-2023,Degerfors IF,? - ?,IK Sirius
47,01-04-2023,Djurgårdens IF,3 - 1,IF Brommapojkarna
48,09-04-2023,IK Sirius,0 - 0,Djurgårdens IF
49,16-04-2023,Halmstad,2 - 0,Djurgårdens IF
50,23-04-2023,Djurgårdens IF,1 - 0,IFK Goteborg
51,30-04-2023,Degerfors IF,2 - 1,Djurgårdens IF
52,03-05-2023,BK Hacken,4 - 1,Djurgårdens IF
53,08-05-2023,Djurgårdens IF,3 - 1,Kalmar FF
54,14-05-2023,Hammarby IF,4 - 3,Djurgårdens IF
55,21-05-2023,Djurgårdens IF,2 - 0,Mjällby AIF
56,24-05-2023,Djurgårdens IF,1 - 0,BK Hacken
57,28-05-2023,Djurgårdens IF,1 - 0,AIK
58,04-06-2023,Elfsborg,1 - 1,Djurgårdens IF
59,11-06-2023,Djurgårdens IF,2 - 2,IFK Norrköping
60,02-07-2023,Djurgårdens IF,2 - 0,Varbergs BoIS
61,08-07-2023,IFK Varnamo,1 - 2,Djurgårdens IF
62,17-07-2023,Djurgårdens IF,? - ?,Malmö FF
63,03-04-2023,Elfsborg,0 - 2,BK Hacken
64,10-04-2023,Varbergs BoIS,0 - 0,Elfsborg
65,15-04-2023,Elfsborg,5 - 0,IF Brommapojkarna
66,22-04-2023,Degerfors IF,1 - 2,Elfsborg
67,29-04-2023,Mjällby AIF,0 - 1,Elfsborg
68,03-05-2023,Elfsborg,6 - 1,Halmstad
69,08-05-2023,IK Sirius,3 - 4,Elfsborg
70,14-05-2023,Elfsborg,2 - 0,IFK Varnamo
71,22-05-2023,IFK Norrköping,1 - 2,Elfsborg
72,28-05-2023,Elfsborg,3 - 0,Malmö FF
73,04-06-2023,Elfsborg,1 - 1,Djurgårdens IF
74,11-06-2023,AIK,1 - 2,Elfsborg
75,03-07-2023,Elfsborg,2 - 0,Hammarby IF
