,date,home_team,score,away_team
0,16-07-2022,FC Winterthur,1 - 1,Basel
1,24-07-2022,Basel,1 - 1,Servette FC
2,07-08-2022,Basel,0 - 0,Young Boys
3,14-08-2022,Basel,0 - 2,FC Lugano
4,28-08-2022,FC Zurich,2 - 4,Basel
5,03-09-2022,FC Sion,2 - 1,Basel
6,11-09-2022,Basel,5 - 1,Grasshoppers
7,01-10-2022,Basel,3 - 2,St Gallen
8,09-10-2022,FC Lugano,1 - 0,Basel
9,16-10-2022,Servette FC,0 - 0,Basel
10,20-10-2022,Basel,0 - 0,FC Zurich
11,23-10-2022,Basel,3 - 1,FC Winterthur
12,30-10-2022,Young Boys,3 - 1,Basel
13,06-11-2022,Basel,0 - 0,FC Sion
14,09-11-2022,Lucerne,0 - 2,Basel
15,12-11-2022,Grasshoppers,1 - 0,Basel
16,22-01-2023,St Gallen,1 - 1,Basel
17,28-01-2023,Basel,2 - 3,Lucerne
18,04-02-2023,Grasshoppers,1 - 0,Basel
19,11-02-2023,Basel,3 - 1,FC Sion
20,19-02-2023,Basel,2 - 2,Servette FC
21,26-02-2023,FC Lugano,2 - 2,Basel
22,04-03-2023,Lucerne,0 - 1,Basel
23,12-03-2023,Basel,1 - 1,St Gallen
24,19-03-2023,Young Boys,3 - 0,Basel
25,01-04-2023,Basel,2 - 0,FC Winterthur
26,08-04-2023,FC Zurich,1 - 1,Basel
27,16-04-2023,Basel,1 - 1,Young Boys
28,23-04-2023,Basel,0 - 2,Lucerne
29,27-04-2023,FC Sion,1 - 2,Basel
30,30-04-2023,FC Winterthur,1 - 4,Basel
31,07-05-2023,Basel,0 - 2,FC Zurich
32,14-05-2023,St Gallen,6 - 1,Basel
33,21-05-2023,Basel,1 - 1,FC Lugano
34,25-05-2023,Servette FC,3 - 3,Basel
35,29-05-2023,Basel,3 - 1,Grasshoppers
36,17-07-2022,FC Lugano,2 - 3,FC Sion
37,24-07-2022,Grasshoppers,2 - 1,FC Lugano
38,31-07-2022,FC Winterthur,1 - 4,FC Lugano
39,07-08-2022,FC Lugano,1 - 2,Lucerne
40,14-08-2022,Basel,0 - 2,FC Lugano
41,28-08-2022,FC Lugano,2 - 3,St Gallen
42,03-09-2022,FC Zurich,1 - 2,FC Lugano
43,11-09-2022,Young Boys,3 - 0,FC Lugano
44,02-10-2022,FC Lugano,1 - 0,Servette FC
45,09-10-2022,FC Lugano,1 - 0,Basel
46,16-10-2022,St Gallen,1 - 1,FC Lugano
47,19-10-2022,FC Lugano,1 - 4,Young Boys
48,22-10-2022,Lucerne,3 - 1,FC Lugano
49,29-10-2022,Servette FC,2 - 2,FC Lugano
