,date,home_team,score,away_team
0,07-08-2022,Giresunspor,2 - 3,Adana Demirspor
1,13-08-2022,Adana Demirspor,3 - 0,Sivasspor
2,22-08-2022,Fenerbahce,4 - 2,Adana Demirspor
3,27-08-2022,Adana Demirspor,1 - 0,Ümraniyespor
4,04-09-2022,Hatayspor,1 - 1,Adana Demirspor
5,12-09-2022,Adana Demirspor,3 - 2,Trabzonspor
6,17-09-2022,Antalyaspor,0 - 3,Adana Demirspor
7,01-10-2022,Adana Demirspor,0 - 0,Galatasaray
8,07-10-2022,Gaziantep BBK,1 - 1,Adana Demirspor
9,15-10-2022,Kasimpasa,1 - 4,Adana Demirspor
10,23-10-2022,Adana Demirspor,1 - 1,Konyaspor
11,30-10-2022,Kayserispor,2 - 2,Adana Demirspor
12,11-11-2022,Alanyaspor,0 - 0,Adana Demirspor
13,25-12-2022,Adana Demirspor,2 - 1,Fatih Karagümrük
14,29-12-2022,Besiktas,1 - 0,Adana Demirspor
15,05-01-2023,Adana Demirspor,6 - 0,İstanbulspor
16,09-01-2023,Buyuksehyr,2 - 1,Adana Demirspor
17,14-01-2023,Adana Demirspor,3 - 1,Ankaragucu
18,20-01-2023,Adana Demirspor,1 - 1,Giresunspor
19,28-01-2023,Sivasspor,1 - 2,Adana Demirspor
20,02-02-2023,Adana Demirspor,1 - 1,Fenerbahce
21,26-02-2023,Ümraniyespor,1 - 1,Adana Demirspor
22,12-03-2023,Trabzonspor,4 - 1,Adana Demirspor
23,18-03-2023,Adana Demirspor,2 - 0,Antalyaspor
24,01-04-2023,Galatasaray,2 - 0,Adana Demirspor
25,15-04-2023,Adana Demirspor,5 - 0,Kasimpasa
26,19-04-2023,Konyaspor,1 - 2,Adana Demirspor
27,23-04-2023,Adana Demirspor,5 - 3,Kayserispor
28,06-05-2023,Adana Demirspor,4 - 2,Alanyaspor
29,17-05-2023,Fatih Karagümrük,2 - 3,Adana Demirspor
30,21-05-2023,Adana Demirspor,1 - 4,Besiktas
31,30-05-2023,İstanbulspor,0 - 2,Adana Demirspor
32,03-06-2023,Adana Demirspor,2 - 3,Buyuksehyr
33,07-06-2023,Ankaragucu,1 - 2,Adana Demirspor
34,07-08-2022,Fatih Karagümrük,2 - 4,Alanyaspor
35,14-08-2022,Alanyaspor,3 - 3,Besiktas
36,22-08-2022,Sivasspor,1 - 1,Alanyaspor
