,date,home_team,score,away_team
0,26-02-2023,Atlanta United FC,2 - 1,San Jose Earthquakes
1,05-03-2023,Atlanta United FC,1 - 1,Toronto FC
2,11-03-2023,Charlotte,0 - 3,Atlanta United FC
3,18-03-2023,Atlanta United FC,5 - 1,Portland Timbers
4,25-03-2023,Columbus Crew,6 - 1,Atlanta United FC
5,01-04-2023,Atlanta United FC,1 - 0,New York Red Bulls
6,08-04-2023,New York City FC,1 - 1,Atlanta United FC
7,15-04-2023,Toronto FC,2 - 2,Atlanta United FC
8,23-04-2023,Atlanta United FC,2 - 1,Chicago Fire
9,29-04-2023,Nashville SC (MLS),3 - 1,Atlanta United FC
10,06-05-2023,Club Internacional de Fútbol Miami,2 - 1,Atlanta United FC
11,13-05-2023,Atlanta United FC,1 - 3,Charlotte
12,17-05-2023,Atlanta United FC,4 - 0,Colorado Rapids
13,21-05-2023,Chicago Fire,3 - 3,Atlanta United FC
14,27-05-2023,Orlando City SC,1 - 1,Atlanta United FC
15,31-05-2023,Atlanta United FC,3 - 3,New England Revolution
16,08-06-2023,Los Angeles FC,0 - 0,Atlanta United FC
17,10-06-2023,Atlanta United FC,3 - 1,DC United
18,21-06-2023,Atlanta United FC,2 - 2,New York City FC
19,24-06-2023,New York Red Bulls,4 - 0,Atlanta United FC
20,02-07-2023,Atlanta United FC,2 - 0,Philadelphia Union
21,08-07-2023,Montreal Impact,0 - 1,Atlanta United FC
22,12-07-2023,New England Revolution,2 - 1,Atlanta United FC
23,15-07-2023,Atlanta United FC,? - ?,Orlando City SC
24,26-02-2023,Austin,2 - 3,St. Louis City
25,05-03-2023,Austin,1 - 0,Montreal Impact
26,12-03-2023,Real Salt Lake,1 - 2,Austin
27,19-03-2023,Houston Dynamo,2 - 0,Austin
28,26-03-2023,Austin,1 - 1,Colorado Rapids
29,08-04-2023,Los Angeles FC,3 - 0,Austin
30,16-04-2023,Austin,0 - 0,Vancouver Whitecaps
31,23-04-2023,LA Galaxy,2 - 0,Austin
32,30-04-2023,Austin,2 - 2,San Jose Earthquakes
33,07-05-2023,Portland Timbers,2 - 2,Austin
34,14-05-2023,Austin,0 - 1,FC Dallas
35,18-05-2023,Seattle Sounders FC,1 - 2,Austin
36,21-05-2023,Austin,1 - 0,Toronto FC
37,28-05-2023,Houston Dynamo,2 - 1,Austin
38,01-06-2023,Austin,2 - 1,Minnesota Utd
39,04-06-2023,Austin,1 - 2,Real Salt Lake
40,11-06-2023,Sporting Kansas City,4 - 1,Austin
41,22-06-2023,Austin,3 - 0,FC Dallas
42,25-06-2023,Austin,3 - 0,Houston Dynamo
43,01-07-2023,Club Internacional de Fútbol Miami,1 - 1,Austin
44,09-07-2023,Minnesota Utd,1 - 4,Austin
45,13-07-2023,Vancouver Whitecaps,2 - 1,Austin
46,16-07-2023,Austin,? - ?,Sporting Kansas City
47,26-02-2023,Charlotte,0 - 1,New England Revolution
48,05-03-2023,St. Louis City,3 - 1,Charlotte
49,11-03-2023,Charlotte,0 - 3,Atlanta United FC
50,18-03-2023,Orlando City SC,1 - 2,Charlotte
51,25-03-2023,Charlotte,1 - 1,New York Red Bulls
52,01-04-2023,Toronto FC,2 - 2,Charlotte
53,09-04-2023,Real Salt Lake,3 - 1,Charlotte
54,15-04-2023,Charlotte,2 - 2,Colorado Rapids
55,22-04-2023,Charlotte,1 - 0,Columbus Crew
56,29-04-2023,DC United,3 - 0,Charlotte
57,06-05-2023,Charlotte,3 - 2,New York City FC
58,13-05-2023,Atlanta United FC,1 - 3,Charlotte
59,17-05-2023,Charlotte,2 - 1,Chicago Fire
60,20-05-2023,Charlotte,1 - 2,Nashville SC (MLS)
61,28-05-2023,LA Galaxy,0 - 1,Charlotte
62,31-05-2023,Philadelphia Union,1 - 0,Charlotte
63,03-06-2023,Columbus Crew,4 - 2,Charlotte
64,10-06-2023,Charlotte,3 - 3,Seattle Sounders FC
65,21-06-2023,New York Red Bulls,2 - 2,Charlotte
66,24-06-2023,Charlotte,0 - 0,Montreal Impact
67,05-07-2023,New York City FC,1 - 1,Charlotte
68,08-07-2023,Charlotte,2 - 2,FC Cincinnati
69,15-07-2023,Montreal Impact,? - ?,Charlotte
70,05-03-2023,Chicago Fire,1 - 1,New York City FC
71,12-03-2023,Philadelphia Union,1 - 0,Chicago Fire
72,19-03-2023,Chicago Fire,3 - 3,FC Cincinnati
73,25-03-2023,Club Internacional de Fútbol Miami,2 - 3,Chicago Fire
74,02-04-2023,Chicago Fire,0 - 0,DC United
75,09-04-2023,Chicago Fire,2 - 1,Minnesota Utd
76,16-04-2023,Chicago Fire,2 - 2,Philadelphia Union
77,23-04-2023,Atlanta United FC,2 - 1,Chicago Fire
78,30-04-2023,Chicago Fire,1 - 1,New York Red Bulls
