,date,home_team,score,away_team
0,25-07-2021,Desna,3 - 0,Chornomorets
1,31-07-2021,Chornomorets,0 - 3,Dnipro-1
2,06-08-2021,Metalist 1925 Kharkiv,3 - 2,Chornomorets
3,16-08-2021,FC Mariupol,2 - 3,Chornomorets
4,21-08-2021,Chornomorets,0 - 3,Shakhtar Donetsk
5,27-08-2021,Chornomorets,2 - 2,Oleksandria
6,12-09-2021,Minai,2 - 2,Chornomorets
7,19-09-2021,Zorya Luhansk,3 - 0,Chornomorets
8,27-09-2021,Chornomorets,1 - 1,Inhulets
9,02-10-2021,Kolos Kovalivka,2 - 1,Chornomorets
10,18-10-2021,Chornomorets,0 - 1,Veres Rivne
11,23-10-2021,Chornomorets,1 - 1,Lviv
12,01-11-2021,Vorskla Poltava,0 - 0,Chornomorets
13,06-11-2021,Chornomorets,4 - 3,Rukh Vynnyky
14,19-11-2021,Chornomorets,1 - 6,Dynamo Kyiv
15,27-11-2021,Chornomorets,0 - 1,Desna
16,06-12-2021,Dnipro-1,3 - 1,Chornomorets
17,12-12-2021,Chornomorets,2 - 1,Metalist 1925 Kharkiv
18,25-07-2021,Desna,3 - 0,Chornomorets
19,01-08-2021,FC Mariupol,1 - 2,Desna
20,09-08-2021,Desna,2 - 0,Inhulets
21,14-08-2021,Desna,2 - 1,Dnipro-1
22,22-08-2021,Dynamo Kyiv,4 - 0,Desna
23,29-08-2021,Desna,0 - 4,Veres Rivne
24,12-09-2021,Vorskla Poltava,2 - 2,Desna
25,17-09-2021,Desna,1 - 0,Rukh Vynnyky
26,26-09-2021,Desna,1 - 2,Metalist 1925 Kharkiv
27,03-10-2021,Zorya Luhansk,2 - 0,Desna
28,17-10-2021,Minai,0 - 0,Desna
29,22-10-2021,Desna,1 - 1,Oleksandria
30,30-10-2021,Shakhtar Donetsk,4 - 1,Desna
31,07-11-2021,Lviv,0 - 2,Desna
32,21-11-2021,Desna,0 - 1,Kolos Kovalivka
33,27-11-2021,Chornomorets,0 - 1,Desna
34,05-12-2021,Desna,3 - 3,FC Mariupol
35,10-12-2021,Inhulets,2 - 1,Desna
36,26-07-2021,Vorskla Poltava,2 - 2,Dnipro-1
37,31-07-2021,Chornomorets,0 - 3,Dnipro-1
38,07-08-2021,Dnipro-1,2 - 1,FC Mariupol
39,14-08-2021,Desna,2 - 1,Dnipro-1
40,21-08-2021,Dnipro-1,2 - 0,Rukh Vynnyky
41,28-08-2021,Metalist 1925 Kharkiv,1 - 2,Dnipro-1
42,11-09-2021,Shakhtar Donetsk,2 - 0,Dnipro-1
43,18-09-2021,Dnipro-1,1 - 0,Veres Rivne
44,26-09-2021,Dnipro-1,0 - 4,Zorya Luhansk
45,02-10-2021,Lviv,0 - 1,Dnipro-1
46,16-10-2021,Dnipro-1,2 - 0,Kolos Kovalivka
47,24-10-2021,Dynamo Kyiv,2 - 0,Dnipro-1
48,01-11-2021,Dnipro-1,4 - 0,Minai
49,07-11-2021,Inhulets,0 - 1,Dnipro-1
50,20-11-2021,Dnipro-1,3 - 1,Oleksandria
51,27-11-2021,Dnipro-1,5 - 1,Vorskla Poltava
52,06-12-2021,Dnipro-1,3 - 1,Chornomorets
53,10-12-2021,FC Mariupol,0 - 3,Dnipro-1
54,01-08-2021,Dynamo Kyiv,4 - 0,Veres Rivne
